model,step,layer,basis_orthogonality_relative_frobenius,fine_rank_coverage,coarse_rank_coverage,eigenvalues_nonincreasing,minimum_eigenvalue
lb,10000,1,1.4088970044176464e-06,768,768,True,2.1691006679702696e-07
lb,10000,2,1.3636424366411785e-06,768,768,True,2.8641011340369005e-08
lb,10000,3,1.3478174564655486e-06,768,768,True,8.411480223458057e-08
lb,10000,4,1.41603097253571e-06,768,768,True,6.737220559216439e-08
lb,10000,5,1.4018117390482175e-06,768,768,True,1.5524045693382504e-07
lb,10000,6,1.4049784679035106e-06,768,768,True,1.1477158068373683e-07
lb,10000,7,1.4028788674677623e-06,768,768,True,2.446496125685371e-07
lb,10000,8,1.4208331160607887e-06,768,768,True,1.8149810898648866e-07
lb,10000,9,1.4165390039028692e-06,768,768,True,3.094021678862191e-07
lb,10000,10,1.3917797604750097e-06,768,768,True,6.438801847252762e-07
lb,10000,11,1.3772700170610257e-06,768,768,True,6.111696961852431e-07
lb,10000,12,1.3868203503923452e-06,768,768,True,7.927398542051378e-07
lb,20000,1,1.4139851945445444e-06,768,768,True,8.215017999191332e-08
lb,20000,2,1.357533195358269e-06,768,768,True,4.436506717553357e-09
lb,20000,3,1.3767357308428502e-06,768,768,True,6.208260572293511e-08
lb,20000,4,1.403865262220433e-06,768,768,True,1.3248106256469327e-07
lb,20000,5,1.412173084727421e-06,768,768,True,3.130149295316187e-08
lb,20000,6,1.4299917270149497e-06,768,768,True,1.4111833479546476e-07
lb,20000,7,1.4090776377926364e-06,768,768,True,2.4089135308713594e-07
lb,20000,8,1.4249272975282213e-06,768,768,True,5.877981834601087e-07
lb,20000,9,1.433324517802919e-06,768,768,True,6.50554454750818e-07
lb,20000,10,1.4172998694853124e-06,768,768,True,7.58209921514208e-07
lb,20000,11,1.3829787405916863e-06,768,768,True,1.3159848322175094e-06
lb,20000,12,1.3691529360466685e-06,768,768,True,1.1955295349252992e-06
lb,30000,1,1.4238126478283377e-06,768,768,True,1.7994803158671857e-07
lb,30000,2,1.357398770521067e-06,768,768,True,3.981175211720256e-08
lb,30000,3,1.3900093958710018e-06,768,768,True,5.152747917236411e-08
lb,30000,4,1.4122921504767785e-06,768,768,True,5.8746302045165066e-08
lb,30000,5,1.4199231229245745e-06,768,768,True,1.0120339055674776e-07
lb,30000,6,1.4258405725208124e-06,768,768,True,1.530136302108076e-07
lb,30000,7,1.38472573837829e-06,768,768,True,3.8798378909632447e-07
lb,30000,8,1.4225736814088934e-06,768,768,True,1.518740191386314e-07
lb,30000,9,1.4353733151019513e-06,768,768,True,0.0
lb,30000,10,1.4089791821013264e-06,768,768,True,6.642328003181319e-07
lb,30000,11,1.3990522229321826e-06,768,768,True,6.8143623366268e-07
lb,30000,12,1.3815162141158408e-06,768,768,True,3.5594773635239108e-06
batchgrad,10000,1,1.4244510345307914e-06,768,768,True,7.063400175866263e-08
batchgrad,10000,2,1.3407782683596528e-06,768,768,True,9.543400736333751e-09
batchgrad,10000,3,1.3803844987627968e-06,768,768,True,8.372595061700849e-08
batchgrad,10000,4,1.3906019678584326e-06,768,768,True,1.6953794101937092e-07
batchgrad,10000,5,1.4045581277387448e-06,768,768,True,1.2816730077247485e-07
batchgrad,10000,6,1.4139297968089006e-06,768,768,True,4.22218391804563e-07
batchgrad,10000,7,1.3927434447815514e-06,768,768,True,3.1533033961750334e-07
