model,step,layer,control,contrast,actual_router_input_B,control_B,actual_minus_control_B
batchgrad,10000,1,next_layer_basis,H:M,1.6406173182276702,0.3544853009981312,1.286132017229539
batchgrad,10000,1,next_layer_basis,H:T,2.3066179278664523,0.32245668401844496,1.9841612438480074
batchgrad,10000,2,next_layer_basis,H:M,2.470045091008483,0.0803292673183441,2.3897158236901386
batchgrad,10000,2,next_layer_basis,H:T,3.7812406455366157,0.22385572370057572,3.55738492183604
batchgrad,10000,3,next_layer_basis,H:M,2.707789074308939,0.2326669746924495,2.4751220996164895
batchgrad,10000,3,next_layer_basis,H:T,3.966596708023827,0.4247952741323138,3.5418014338915134
batchgrad,10000,4,next_layer_basis,H:M,2.616714421088267,0.20822583726617575,2.4084885838220913
batchgrad,10000,4,next_layer_basis,H:T,4.061025079537112,0.3385469328134544,3.7224781467236574
batchgrad,10000,5,next_layer_basis,H:M,2.2437505305097316,0.03440401539049736,2.2093465151192344
batchgrad,10000,5,next_layer_basis,H:T,3.728620795624102,0.09591501027821912,3.632705785345883
batchgrad,10000,6,next_layer_basis,H:M,2.36744409497301,0.4622418873050221,1.9052022076679878
batchgrad,10000,6,next_layer_basis,H:T,3.868561463850271,0.6402668345909738,3.2282946292592976
batchgrad,10000,7,next_layer_basis,H:M,2.5053617401405326,0.2893045391118237,2.216057201028709
batchgrad,10000,7,next_layer_basis,H:T,3.8618041552460376,0.35781269482863515,3.5039914604174025
batchgrad,10000,8,next_layer_basis,H:M,2.191584252543445,0.2143950123009525,1.9771892402424924
batchgrad,10000,8,next_layer_basis,H:T,3.5695324741174224,0.35179528317881176,3.2177371909386108
batchgrad,10000,9,next_layer_basis,H:M,2.1928806776806407,0.015137276102635336,2.1777434015780055
batchgrad,10000,9,next_layer_basis,H:T,3.820528823150751,0.04016460584092475,3.780364217309826
batchgrad,10000,10,next_layer_basis,H:M,1.6695296738022711,0.2156537471767655,1.4538759266255057
batchgrad,10000,10,next_layer_basis,H:T,3.191349609156017,0.27516628152172007,2.9161833276342968
batchgrad,10000,11,next_layer_basis,H:M,1.8513132106258328,-0.008065084230790482,1.8593782948566233
batchgrad,10000,11,next_layer_basis,H:T,3.548598816721575,0.002992952331364052,3.545605864390211
batchgrad,10000,12,next_layer_basis,H:M,1.707910858934153,0.09966062245784137,1.6082502364763116
batchgrad,10000,12,next_layer_basis,H:T,3.2007676496918958,0.08740440952898362,3.1133632401629123
batchgrad,20000,1,next_layer_basis,H:M,1.4287043337130887,0.3863669468185782,1.0423373868945105
batchgrad,20000,1,next_layer_basis,H:T,2.1747406456641514,0.2839032981199111,1.8908373475442404
batchgrad,20000,2,next_layer_basis,H:M,2.4692338085162295,0.08076721777042592,2.3884665907458036
