model,step,contrast,eligible_layers,eligible_count,model_median_B,gain_ratio,basis_bootstrap_ci_lower,basis_bootstrap_ci_upper,orientation_null_q95,above_zero,above_matched_null,supported
lb,10000,H:M,"1,2,3,4,5,6,7,8,9,10,11,12",12,2.3438754777478605,10.421546874431186,2.2989228844642637,2.3947362184524534,0.03696480579674244,True,True,True
lb,10000,H:T,"1,2,3,4,5,6,7,8,9,10,11,12",12,3.613856629331359,37.108892441074076,3.574808418750763,3.6162595748901367,0.03377808630466461,True,True,True
lb,20000,H:M,"1,2,3,4,5,6,7,8,9,10,11,12",12,1.810092432067814,6.11101225962572,1.8127587586641312,1.9434716403484344,0.04103347007185221,True,True,True
lb,20000,H:T,"1,2,3,4,5,6,7,8,9,10,11,12",12,3.193871822864498,24.382650221056593,3.173594069480896,3.2287902891635896,0.03713536076247692,True,True,True
lb,30000,H:M,"1,2,3,4,5,6,7,8,9,10,11,12",12,1.6830532222361994,5.3819632406967886,1.6340542912483216,1.7656957626342773,0.04284744244068861,True,True,True
lb,30000,H:T,"1,2,3,4,5,6,7,8,9,10,11,12",12,2.9756769920889083,19.602889759715172,2.9314532577991486,2.997653251886368,0.04000361077487469,True,True,True
batchgrad,10000,H:M,"1,2,3,4,5,6,7,8,9,10,11,12",12,2.218315604095186,9.191835129618537,2.1721912741661074,2.244068920612335,0.04847865737974644,True,True,True
batchgrad,10000,H:T,"1,2,3,4,5,6,7,8,9,10,11,12",12,3.754930720580359,42.73125931115713,3.713483065366745,3.754446816444397,0.04331924207508564,True,True,True
batchgrad,20000,H:M,"1,2,3,4,5,6,7,8,9,10,11,12",12,1.7811004056502588,5.936385257626259,1.7415018886327744,1.8430417954921723,0.0437003867700696,True,True,True
batchgrad,20000,H:T,"1,2,3,4,5,6,7,8,9,10,11,12",12,3.484851529297284,32.61758399472138,3.451075851917267,3.4916931331157683,0.036266058683395386,True,True,True
batchgrad,30000,H:M,"1,2,3,4,5,6,7,8,9,10,11,12",12,1.6064427776663368,4.9850467308679205,1.5786983996629715,1.6688985526561737,0.040879372507333755,True,True,True
batchgrad,30000,H:T,"1,2,3,4,5,6,7,8,9,10,11,12",12,3.2109240044036715,24.801992790632347,3.181566393375397,3.22426877617836,0.040513900108635426,True,True,True
