model,step,band,common_stable_layers,median_geometric_G,pointwise_ci_lower,pointwise_ci_upper,simultaneous_ci_lower,simultaneous_ci_upper,log_gain_relative_to_fine_mean,haar_simultaneous_upper_q95,above_simultaneous_haar_envelope
lb,10000,F1,"1,2,3,4,5,6,7,8,9,10,11,12",0.15919115085132568,0.15642494618040986,0.1608622134641198,0.1440670954463372,0.1759029182261051,2.031521277458214,0.10214751400053501,True
lb,10000,F2,"1,2,3,4,5,6,7,8,9,10,11,12",0.03050138366228855,0.028794466648562632,0.032472825127473084,0.0276035805245495,0.03370339599555649,0.3791876392851172,0.10214751400053501,True
lb,10000,F3,"1,2,3,4,5,6,7,8,9,10,11,12",0.015287016886389138,0.014627534095275428,0.016197569023278187,0.013834664232800553,0.01689183643002228,-0.3115805106008671,0.10214751400053501,False
lb,10000,F4,"1,2,3,4,5,6,7,8,9,10,11,12",0.009789650975547636,0.009464880368008894,0.010524407514467319,0.008859579027717073,0.010817361177457213,-0.7572586044183814,0.10214751400053501,False
lb,10000,F5,"1,2,3,4,5,6,7,8,9,10,11,12",0.0067455675400739865,0.0067649678979818505,0.007485456695742805,0.006104700653512867,0.007453712150736813,-1.1296987807018872,0.10214751400053501,False
lb,10000,F6,"1,2,3,4,5,6,7,8,9,10,11,12",0.005470915955224337,0.005304086422628322,0.005984844862649824,0.0049511481441346095,0.006045248600485922,-1.339138356029463,0.10214751400053501,False
lb,10000,F7,"1,2,3,4,5,6,7,8,9,10,11,12",0.004713658927083101,0.004584392704159683,0.004977245259756503,0.004265834796205355,0.005208495298653995,-1.4881199603858282,0.10214751400053501,False
lb,10000,F8,"1,2,3,4,5,6,7,8,9,10,11,12",0.004178219338818635,0.0040685193009162325,0.004428682666013057,0.003781264982772148,0.0046168456648281375,-1.6086992487924952,0.10214751400053501,False
lb,10000,F9,"1,2,3,4,5,6,7,8,9,10,11,12",0.0038554072311665333,0.0038142503284117942,0.00415163167381522,0.0034891218424302397,0.004260144984727166,-1.6891077704753623,0.10214751400053501,False
lb,10000,F10,"1,2,3,4,5,6,7,8,9,10,11,12",0.0037288087636248956,0.0036432805584208465,0.003900751746149945,0.0033745509419175917,0.004120256305209264,-1.722495592713484,0.10214751400053501,False
lb,10000,F11,"1,2,3,4,5,6,7,8,9,10,11,12",0.0035869653425479203,0.0034870500196786283,0.003722157661909422,0.003246183444268074,0.003963522268391373,-1.7612778724868825,0.10214751400053501,False
lb,10000,F12,"1,2,3,4,5,6,7,8,9,10,11,12",0.0034593053555120328,0.0033883070208019905,0.0035005138744505513,0.003130651874588338,0.003822460631860512,-1.797516604408726,0.10214751400053501,False
lb,20000,F1,"1,2,3,4,5,6,7,8,9,10,11,12",0.15146479736130805,0.1472214264728636,0.15427908609095634,0.1339812335079491,0.17122983748571757,1.8361358439634181,0.1047813892364502,True
lb,20000,F2,"1,2,3,4,5,6,7,8,9,10,11,12",0.04633113930305225,0.04343363971519283,0.04808034189117278,0.04098314130935668,0.05237701163304333,0.6515968968501777,0.1047813892364502,True
lb,20000,F3,"1,2,3,4,5,6,7,8,9,10,11,12",0.023913712121772054,0.022736517896631663,0.02525524214247117,0.021153355127040755,0.02703427536712417,-0.009765369937065256,0.1047813892364502,False
lb,20000,F4,"1,2,3,4,5,6,7,8,9,10,11,12",0.01579530301785054,0.01543234850866219,0.016844128418158428,0.013972053036952422,0.01785647368828893,-0.42450477479192855,0.1047813892364502,False
lb,20000,F5,"1,2,3,4,5,6,7,8,9,10,11,12",0.01061816127881817,0.010569915373211307,0.012075292434244088,0.00939250816365477,0.012003753095394974,-0.8216515300110714,0.1047813892364502,False
lb,20000,F6,"1,2,3,4,5,6,7,8,9,10,11,12",0.008892048809903578,0.008328934215191113,0.009252428955948098,0.007865640655246468,0.010052395666584137,-0.9990599079489774,0.1047813892364502,False
lb,20000,F7,"1,2,3,4,5,6,7,8,9,10,11,12",0.006798603352365091,0.006621399933612167,0.007312594986983047,0.0060138413621503364,0.007685771000494579,-1.2675001914654644,0.1047813892364502,False
lb,20000,F8,"1,2,3,4,5,6,7,8,9,10,11,12",0.005938222061722954,0.005698863333408921,0.006315210548150245,0.005252773783309458,0.006713116290364295,-1.4028076208105966,0.1047813892364502,False
lb,20000,F9,"1,2,3,4,5,6,7,8,9,10,11,12",0.005364993768760852,0.005188434519768491,0.0057078729530303214,0.004745713165194257,0.006065085928484384,-1.5043221785340408,0.1047813892364502,False
lb,20000,F10,"1,2,3,4,5,6,7,8,9,10,11,12",0.005140182024591357,0.005056150969510993,0.005473872999000167,0.004546851414374018,0.005810937908022588,-1.5471289009620532,0.1047813892364502,False
lb,20000,F11,"1,2,3,4,5,6,7,8,9,10,11,12",0.004988917382996343,0.004786118947293354,0.00505657694392845,0.004413047232675657,0.005639934345155999,-1.5769984642313906,0.1047813892364502,False
lb,20000,F12,"1,2,3,4,5,6,7,8,9,10,11,12",0.004534507392770563,0.004481351695992885,0.004635592193594255,0.004011089734501645,0.005126227199114399,-1.6725009388779295,0.1047813892364502,False
lb,30000,F1,"1,2,3,4,5,6,7,8,9,10,11,12",0.1535996895428344,0.1493638397042079,0.15735677309494492,0.13323636637368738,0.17707526308158486,1.733567015283268,0.11454050801694393,True
lb,30000,F2,"1,2,3,4,5,6,7,8,9,10,11,12",0.0558109603126886,0.05252263997971107,0.059000067682402596,0.048411878813173055,0.06434088838082722,0.7211874872621117,0.11454050801694393,True
lb,30000,F3,"1,2,3,4,5,6,7,8,9,10,11,12",0.030498159214869876,0.028623210196971272,0.033508503403239874,0.026454896666586507,0.03515937813774755,0.11688354398471233,0.11454050801694393,True
lb,30000,F4,"1,2,3,4,5,6,7,8,9,10,11,12",0.020290749665948033,0.019353049152349262,0.02156776309000985,0.017600724093489204,0.023391908186235943,-0.29061768346699035,0.11454050801694393,False
lb,30000,F5,"1,2,3,4,5,6,7,8,9,10,11,12",0.013669855083075725,0.013886128175666193,0.01590944560757787,0.011857587899720183,0.01575910206802691,-0.6855897345682002,0.11454050801694393,False
lb,30000,F6,"1,2,3,4,5,6,7,8,9,10,11,12",0.011514330645284194,0.010703806100203616,0.011755890323999417,0.009987829929662963,0.013274135737451884,-0.8571903814968644,0.11454050801694393,False
lb,30000,F7,"1,2,3,4,5,6,7,8,9,10,11,12",0.00868060827154215,0.00835648700843051,0.009303248965638571,0.007529785427665967,0.010007318360906256,-1.139691180530505,0.11454050801694393,False
lb,30000,F8,"1,2,3,4,5,6,7,8,9,10,11,12",0.007321547340189173,0.006971115464220605,0.007750254741485444,0.00635090062189028,0.008440543892289116,-1.3099610931864365,0.11454050801694393,False
lb,30000,F9,"1,2,3,4,5,6,7,8,9,10,11,12",0.006285690602912364,0.006206426683538545,0.006795318508745679,0.005452371541725848,0.007246370877916119,-1.4625070669328122,0.11454050801694393,False
lb,30000,F10,"1,2,3,4,5,6,7,8,9,10,11,12",0.0063968561971472805,0.006021622552085664,0.006536054682902602,0.005548799469970466,0.007374526585153269,-1.444976133590724,0.11454050801694393,False
lb,30000,F11,"1,2,3,4,5,6,7,8,9,10,11,12",0.005974277760951136,0.005752244063668294,0.006044577280418332,0.005182243941673333,0.006887362919752959,-1.5133195703787619,0.11454050801694393,False
lb,30000,F12,"1,2,3,4,5,6,7,8,9,10,11,12",0.005563722258200644,0.005447332007068509,0.005647313268606075,0.0048261174186054355,0.006414059725745771,-1.5845154288833188,0.11454050801694393,False
batchgrad,10000,F1,"1,2,3,4,5,6,7,8,9,10,11,12",0.1876235134681979,0.1844864909348097,0.18878945893098467,0.169403772420545,0.20780282695689087,2.031535409543133,0.09927557781338692,True
batchgrad,10000,F2,"1,2,3,4,5,6,7,8,9,10,11,12",0.03966188552254442,0.03663993100572333,0.04060030956885265,0.03581039979815572,0.04392760684242439,0.4774887066620924,0.09927557781338692,True
batchgrad,10000,F3,"1,2,3,4,5,6,7,8,9,10,11,12",0.017256037958626364,0.01692374027454143,0.018378963923145777,0.015580338909488088,0.019111962054189843,-0.35473984861941005,0.09927557781338692,False
batchgrad,10000,F4,"1,2,3,4,5,6,7,8,9,10,11,12",0.011842918567514755,0.011020286730088964,0.012037889845690843,0.010692876626822,0.013116649999025606,-0.7311718576980496,0.09927557781338692,False
batchgrad,10000,F5,"1,2,3,4,5,6,7,8,9,10,11,12",0.007655777999625298,0.0074430040071743085,0.008212874987763647,0.006912340836057129,0.0084791734333776,-1.1674413005500415,0.09927557781338692,False
batchgrad,10000,F6,"1,2,3,4,5,6,7,8,9,10,11,12",0.006041506835584648,0.00576753157586115,0.006337161131759012,0.005454828289557767,0.006691283924424894,-1.4042485004083167,0.09927557781338692,False
batchgrad,10000,F7,"1,2,3,4,5,6,7,8,9,10,11,12",0.005090216422007439,0.004904571300875454,0.005360259784020683,0.004595915769753607,0.005637680175383916,-1.5755816085833372,0.09927557781338692,False
batchgrad,10000,F8,"1,2,3,4,5,6,7,8,9,10,11,12",0.004132523422842099,0.004217659554841812,0.00460304407960341,0.003731222406536883,0.004576985228867452,-1.7840137385984174,0.09927557781338692,False
batchgrad,10000,F9,"1,2,3,4,5,6,7,8,9,10,11,12",0.004397825083204091,0.0041241604153273645,0.00450243766796399,0.003970761157645354,0.004870820654931592,-1.7217918378231047,0.09927557781338692,False
batchgrad,10000,F10,"1,2,3,4,5,6,7,8,9,10,11,12",0.003967518597535145,0.0038309841588626543,0.004133325379278634,0.0035822408670811204,0.004394233778761361,-1.8247610963677867,0.09927557781338692,False
batchgrad,10000,F11,"1,2,3,4,5,6,7,8,9,10,11,12",0.0038142915766590573,0.0037224170671876803,0.003944314915940019,0.0034438934132180383,0.0042245268613518286,-1.864147003933056,0.09927557781338692,False
batchgrad,10000,F12,"1,2,3,4,5,6,7,8,9,10,11,12",0.0037618960011665445,0.003674868562812413,0.0037895354160202024,0.003396585866405247,0.0041664960287226185,-1.87797887129387,0.09927557781338692,False
batchgrad,20000,F1,"1,2,3,4,5,6,7,8,9,10,11,12",0.1898669208311981,0.1864265731929663,0.1942595348080658,0.17196943453863994,0.20962706380139,1.8828261098282542,0.09696170315146446,True
batchgrad,20000,F2,"1,2,3,4,5,6,7,8,9,10,11,12",0.054558237630822536,0.05218884159457922,0.057829868854441885,0.04941539702504951,0.060236312416399485,0.6357714112907398,0.09696170315146446,True
batchgrad,20000,F3,"1,2,3,4,5,6,7,8,9,10,11,12",0.02836497890304174,0.027527534608840807,0.029854446115673047,0.02569120182337219,0.03131702571570847,-0.018342053206983844,0.09696170315146446,False
batchgrad,20000,F4,"1,2,3,4,5,6,7,8,9,10,11,12",0.01917843283237057,0.01744838135320941,0.0196100334551057,0.017370610083534493,0.02117440228851817,-0.40971094251109386,0.09696170315146446,False
batchgrad,20000,F5,"1,2,3,4,5,6,7,8,9,10,11,12",0.01195040933523502,0.011811334364436874,0.013007415351704682,0.010823924077394973,0.01319413202259299,-0.8827317683841284,0.09696170315146446,False
batchgrad,20000,F6,"1,2,3,4,5,6,7,8,9,10,11,12",0.008651873037991944,0.008753036385544897,0.009575725406266005,0.007836318762268046,0.009552305021837432,-1.205721466450401,0.09696170315146446,False
batchgrad,20000,F7,"1,2,3,4,5,6,7,8,9,10,11,12",0.007243102195381261,0.007061377694651806,0.007680231314261507,0.006560343336229145,0.007996918259295263,-1.3834477054638634,0.09696170315146446,False
batchgrad,20000,F8,"1,2,3,4,5,6,7,8,9,10,11,12",0.006396674440120358,0.006183220256207965,0.0067082463859120854,0.005793702671216,0.007062399680289638,-1.5077190635110689,0.09696170315146446,False
batchgrad,20000,F9,"1,2,3,4,5,6,7,8,9,10,11,12",0.005940320047298879,0.005563903413657784,0.006018919009176454,0.0053803657585027725,0.006558550821303383,-1.58173428814517,0.09696170315146446,False
batchgrad,20000,F10,"1,2,3,4,5,6,7,8,9,10,11,12",0.004909038748911163,0.004851746777168828,0.005200441292066241,0.0044462964590291565,0.005419940316704208,-1.7724191515618732,0.09696170315146446,False
batchgrad,20000,F11,"1,2,3,4,5,6,7,8,9,10,11,12",0.004792318836637339,0.004638101315245756,0.004893553185696445,0.004340578953182128,0.005291072937436647,-1.7964829062533558,0.09696170315146446,False
batchgrad,20000,F12,"1,2,3,4,5,6,7,8,9,10,11,12",0.004828312242052428,0.004726116436773723,0.004951372243529573,0.004373179500709077,0.005330812307835382,-1.7890003257346114,0.09696170315146446,False
batchgrad,30000,F1,"1,2,3,4,5,6,7,8,9,10,11,12",0.18875058806270606,0.18388446400718406,0.1915353957821821,0.1739852895858001,0.20476894672436172,1.7892598564260833,0.09977862611413002,True
batchgrad,30000,F2,"1,2,3,4,5,6,7,8,9,10,11,12",0.06069338885426157,0.05783694548750383,0.06504259755082747,0.05594555727817997,0.06584414616335091,0.6546681297964487,0.09977862611413002,True
batchgrad,30000,F3,"1,2,3,4,5,6,7,8,9,10,11,12",0.03655465988811755,0.03438353449480984,0.03774499160161577,0.033695116670214964,0.03965687884728803,0.14764202434798274,0.09977862611413002,True
batchgrad,30000,F4,"1,2,3,4,5,6,7,8,9,10,11,12",0.021702335839873414,0.020769492873739276,0.023501722112993253,0.020004637996329067,0.023544109170737453,-0.37374675007755587,0.09977862611413002,False
batchgrad,30000,F5,"1,2,3,4,5,6,7,8,9,10,11,12",0.016087874774876415,0.015569079770424227,0.01711909057347249,0.014829376587674898,0.017453175677473655,-0.6731007785248317,0.09977862611413002,False
