seed,step,tokens,loss,snapshot_max_load_share,rolling20_max_load_share,snapshot_dead_experts,observed_log_head_middle,null_q95_log_head_middle,gap_log_head_middle,observed_log_head_tail,null_q95_log_head_tail,gap_log_head_tail,layers_both_positive,preliminary_orientation_candidate,load_guard_failed_by_step
17,0,0,,0.25311279296875,,0,-0.00712807010859251,0.05542031932935184,-0.06254838943794436,-0.003917710855603218,0.0547104305052672,-0.05862814136087042,2,False,False
17,25,19660800,11.914935111999512,0.25787353515625,0.2866314570109049,0,-0.011136163026094437,0.046055222933999086,-0.05719138596009352,-0.0032067205756902695,0.054205568713765626,-0.057412289289455895,2,False,False
17,50,39321600,11.35124397277832,0.48382568359375,0.41072171529134116,0,0.002816946478560567,0.056252482553422634,-0.05343553607486207,0.009048945270478725,0.04691967926726012,-0.0378707339967814,2,False,False
17,75,58982400,10.830570220947266,0.906005859375,0.8020785649617513,0,0.03523648530244827,0.055250874643437094,-0.02001438934098882,0.008654485456645489,0.0498533892450745,-0.04119890378842901,3,False,True
17,100,78643200,10.525147438049316,0.97564697265625,0.9904465357462565,0,0.056633904576301575,0.06101943716131959,-0.004385532585018018,0.03406919911503792,0.05070208242520974,-0.01663288331017182,3,False,True
17,110,86507520,10.38206672668457,0.98394775390625,0.9935543696085612,0,0.045348264276981354,0.050650804120206686,-0.005302539843225332,0.04069647938013077,0.05217110257633426,-0.011474623196203494,3,False,True
17,120,94371840,10.240082740783691,0.98748779296875,0.9952552159627278,0,0.04965583607554436,0.05622989338658993,-0.0065740573110455724,0.07102204859256744,0.04895435508204536,0.022067693510522082,4,False,True
29,0,0,,0.29888916015625,,0,-0.027249597012996674,0.05556663371141403,-0.0828162307244107,-0.01873026415705681,0.05068410731924314,-0.06941437147629995,2,False,False
29,25,19660800,11.893139839172363,0.3111572265625,0.3980696360270182,0,-0.026973852887749672,0.05720890851110024,-0.08418276139884992,-0.021183758974075317,0.0523164419767817,-0.07350020095085702,2,False,False
29,50,39321600,11.337349891662598,0.4700927734375,0.4863683064778646,0,0.013257797807455063,0.06037409010032982,-0.047116292292874756,0.004051903262734413,0.052775144283274504,-0.04872324102054009,2,False,False
29,75,58982400,10.831290245056152,0.90130615234375,0.8496938705444336,0,0.03519728034734726,0.054818775187604474,-0.019621494840257214,0.05941084399819374,0.0481317662620422,0.011279077736151541,4,False,True
29,100,78643200,10.537070274353027,0.9873046875,0.9910970687866211,0,0.05039524659514427,0.05317145981341043,-0.0027762132182661547,0.0689186230301857,0.053394819775266764,0.015523803254918936,6,False,True
29,110,86507520,10.399803161621094,0.9901123046875,0.995281473795573,0,0.053583208471536636,0.05487323479998557,-0.0012900263284489344,0.06530400365591049,0.058240945123227555,0.0070630585326829365,5,False,True
29,120,94371840,10.26219367980957,0.992431640625,0.9969902038574219,0,0.07070629298686981,0.05762803326354301,0.013078259723326803,0.08649350702762604,0.048016812520329216,0.03847669450729682,5,True,True
43,0,0,,0.24908447265625,,0,-0.037307798862457275,0.057125363402601506,-0.09443316226505878,0.008295459672808647,0.06022663114587712,-0.05193117147306847,2,False,False
43,25,19660800,11.891727447509766,0.25567626953125,0.32572040557861326,0,-0.03761490061879158,0.052629817713743574,-0.09024471833253515,0.0013024851214140654,0.05243634052739054,-0.051133855405976474,1,False,False
43,50,39321600,11.327731132507324,0.509033203125,0.45815995534261067,0,-0.04373418167233467,0.06535502847511485,-0.10908921014744952,0.02100014127790928,0.05632243037402976,-0.03532228909612048,2,False,False
43,75,58982400,10.81236457824707,0.8519287109375,0.7357314427693685,0,0.0001855958253145218,0.05035265921487293,-0.05016706338955841,0.008105786517262459,0.04937302370643102,-0.04126723718916856,3,False,False
43,100,78643200,10.501826286315918,0.9791259765625,0.9891604741414388,0,0.03414874151349068,0.05217592903937872,-0.01802718752588804,0.04750669002532959,0.05282720580703977,-0.005320515781710181,5,False,True
43,110,86507520,10.391443252563477,0.98681640625,0.9931353251139323,0,0.03099784255027771,0.05267183627984557,-0.02167399372956786,0.0617944598197937,0.04688700653696286,0.014907453282830843,5,False,True
43,120,94371840,10.244129180908203,0.99017333984375,0.9956180572509765,0,0.06119322404265404,0.04594633342480346,0.015246890617850575,0.07938068360090256,0.048544272208971534,0.030836411391931023,6,True,True
