model,layer,band,condition,novelty,ci_low,ci_high,eligible_tokens
lb,1,H,full_random,0.7403411865234375,0.7331724166870117,0.7475444793701171,4096
lb,1,H,true,0.723480224609375,0.7163005828857422,0.7309417724609375,4096
lb,1,M,full_random,0.7212905883789062,0.713813591003418,0.7286836624145507,4096
lb,1,M,nonhead_random,0.7370223999023438,0.7293544769287109,0.7444404602050781,4096
lb,1,M,true,0.7330474853515625,0.7261877059936523,0.7398609161376953,4096
lb,1,M,wrong_layer,0.7216720581054688,0.7145538330078125,0.7291114807128907,4096
lb,1,T,full_random,0.716949462890625,0.7099365234375,0.7240686416625977,4096
lb,1,T,nonhead_random,0.7346649169921875,0.7280426025390625,0.7414789199829102,4096
lb,1,T,true,0.7639312744140625,0.7574308395385743,0.770897102355957,4096
lb,1,T,wrong_layer,0.7168502807617188,0.7096023559570312,0.7239383697509766,4096
lb,1,N,full_random,0.7138671875,0.7066801071166993,0.7215049743652344,4096
lb,1,N,true,0.7319717407226562,0.7249330520629883,0.7385719299316407,4096
lb,1,N,wrong_layer,0.7143325805664062,0.7074274063110352,0.7214059829711914,4096
lb,2,H,true,0.8620681762695312,0.858732795715332,0.8653116226196289,4096
lb,2,M,true,0.868194580078125,0.8649442672729493,0.8712699890136719,4096
lb,2,T,true,0.8921585083007812,0.8890680313110352,0.8952102661132812,4096
lb,2,N,true,0.8673782348632812,0.8642421722412109,0.8704685211181641,4096
lb,3,H,true,0.8141098022460938,0.8100885391235352,0.8179248809814453,4096
lb,3,M,true,0.8519363403320312,0.8487388610839843,0.8550191879272461,4096
lb,3,T,true,0.88214111328125,0.8789970397949218,0.8851167678833007,4096
lb,3,N,true,0.8506622314453125,0.8474880218505859,0.853813362121582,4096
lb,4,H,true,0.8673858642578125,0.8576419830322266,0.8737422943115234,4096
lb,4,M,true,0.8752059936523438,0.86563720703125,0.8816911697387695,4096
lb,4,T,true,0.8928451538085938,0.8829401016235352,0.8993537902832032,4096
lb,4,N,true,0.8739395141601562,0.8642414093017579,0.8808679580688477,4096
lb,5,H,true,0.8465347290039062,0.8421476364135743,0.8506547927856445,4096
lb,5,M,true,0.8651275634765625,0.8608774185180664,0.8687063217163086,4096
lb,5,T,true,0.8893890380859375,0.8855735778808593,0.8930288314819336,4096
lb,5,N,true,0.8639068603515625,0.8598857879638672,0.8676992416381836,4096
lb,6,H,full_random,0.8848342895507812,0.8781734466552734,0.8899002075195312,4096
lb,6,H,true,0.8732376098632812,0.8658063888549805,0.8787841796875,4096
lb,6,M,full_random,0.8708114624023438,0.8633844375610351,0.8762065887451171,4096
lb,6,M,nonhead_random,0.8846511840820312,0.8777292251586915,0.890068244934082,4096
lb,6,M,true,0.880340576171875,0.8733211517333984,0.8859025955200195,4096
lb,6,M,wrong_layer,0.8695755004882812,0.8627389907836914,0.8751680374145507,4096
lb,6,T,full_random,0.86761474609375,0.8606864929199218,0.8730775833129882,4096
lb,6,T,nonhead_random,0.8809890747070312,0.8741218566894531,0.8864900588989257,4096
lb,6,T,true,0.896453857421875,0.8894498825073243,0.9018177032470703,4096
lb,6,T,wrong_layer,0.8677902221679688,0.8612287521362305,0.8731851577758789,4096
lb,6,N,full_random,0.8657150268554688,0.8588632583618164,0.871269416809082,4096
lb,6,N,true,0.8790740966796875,0.8725124359130859,0.8844072341918945,4096
lb,6,N,wrong_layer,0.8654556274414062,0.8584360122680664,0.8706438064575195,4096
lb,7,H,true,0.8835678100585938,0.8798057556152343,0.8872303009033203,4096
lb,7,M,true,0.882232666015625,0.8778448104858398,0.8868869781494141,4096
lb,7,T,true,0.8966293334960938,0.8920045852661133,0.9008256912231445,4096
lb,7,N,true,0.8810348510742188,0.8763114929199218,0.8854219436645507,4096
lb,8,H,true,0.8729095458984375,0.8590890884399414,0.8813480377197266,4096
lb,8,M,true,0.8800582885742188,0.8661951065063477,0.8889869689941406,4096
lb,8,T,true,0.8941116333007812,0.880286979675293,0.9025270462036132,4096
lb,8,N,true,0.8790664672851562,0.8636014938354493,0.887969970703125,4096
lb,9,H,true,0.8752059936523438,0.8635709762573243,0.8822481155395507,4096
lb,9,M,true,0.8775863647460938,0.8664472579956055,0.8849340438842773,4096
lb,9,T,true,0.8948593139648438,0.8826353073120117,0.9020233154296875,4096
lb,9,N,true,0.8759231567382812,0.8649738311767579,0.8833244323730469,4096
lb,10,H,true,0.8685150146484375,0.8586421966552734,0.8751298904418945,4096
lb,10,M,true,0.876373291015625,0.8669351577758789,0.8828594207763671,4096
lb,10,T,true,0.8923721313476562,0.8820854187011719,0.8988574981689453,4096
lb,10,N,true,0.8747329711914062,0.8653022766113281,0.8817155838012696,4096
lb,11,H,true,0.8790359497070312,0.871611213684082,0.8840255737304688,4096
lb,11,M,true,0.8810272216796875,0.8734188079833984,0.8862398147583008,4096
lb,11,T,true,0.9022140502929688,0.8943145751953125,0.9073945999145507,4096
lb,11,N,true,0.8800735473632812,0.8724897384643555,0.8852767944335938,4096
lb,12,H,full_random,0.8902587890625,0.8803634643554688,0.8962478637695312,4096
lb,12,H,true,0.8740386962890625,0.864265251159668,0.8804018020629882,4096
lb,12,M,full_random,0.8773574829101562,0.8665834426879883,0.8837516784667969,4096
lb,12,M,nonhead_random,0.8941421508789062,0.8842657089233399,0.9004440307617188,4096
lb,12,M,true,0.8898696899414062,0.8793241500854492,0.8962791442871094,4096
lb,12,M,wrong_layer,0.8798370361328125,0.8700775146484375,0.885887336730957,4096
lb,12,T,full_random,0.8758544921875,0.8665811538696289,0.882042121887207,4096
lb,12,T,nonhead_random,0.8906478881835938,0.8799736022949218,0.8968429565429688,4096
lb,12,T,true,0.901611328125,0.8911205291748047,0.907798957824707,4096
lb,12,T,wrong_layer,0.8739242553710938,0.8637563705444335,0.8803560256958007,4096
lb,12,N,full_random,0.8729324340820312,0.8636611938476563,0.8792194366455078,4096
lb,12,N,true,0.88897705078125,0.8790117263793945,0.8954622268676757,4096
lb,12,N,wrong_layer,0.87396240234375,0.8640188217163086,0.8803028106689453,4096
decommon,1,H,full_random,0.7615486883348035,0.7549923189224735,0.768306258416945,4090
decommon,1,H,true,0.7485801942886845,0.7422142213390719,0.7545260583200762,4090
decommon,1,M,full_random,0.7454656785534274,0.7392556467363911,0.7516884588426159,4090
decommon,1,M,nonhead_random,0.7576768936649445,0.750896349260884,0.7641509209909747,4090
decommon,1,M,true,0.7536234701833417,0.7472319141510995,0.7603363898492628,4090
decommon,1,M,wrong_layer,0.7465751401839718,0.7401282095140027,0.7533056320682648,4090
decommon,1,T,full_random,0.743009259623866,0.7366541893251481,0.7495038493987053,4090
decommon,1,T,nonhead_random,0.754912345640121,0.7484636552872197,0.7614724743750787,4090
decommon,1,T,true,0.7790140951833417,0.7728210203109248,0.785070283951298,4090
decommon,1,T,wrong_layer,0.7427208192886845,0.7362601926249842,0.7495644907797537,4090
decommon,1,N,full_random,0.7406731882402974,0.7343437010242093,0.7469580804148028,4090
decommon,1,N,true,0.7518672327841481,0.7455869182463615,0.7584028490128055,4090
decommon,1,N,wrong_layer,0.7407056746944305,0.7342886463288338,0.7470259389569682,4090
decommon,2,H,true,0.8321685791015625,0.8280792236328125,0.8362884521484375,4096
decommon,2,M,true,0.8524932861328125,0.8485845565795899,0.8565225601196289,4096
decommon,2,T,true,0.8794403076171875,0.8756406784057618,0.8828975677490234,4096
decommon,2,N,true,0.8512725830078125,0.8468929290771484,0.8554843902587891,4096
decommon,3,H,true,0.8398895263671875,0.8349447250366211,0.8447036743164062,4096
decommon,3,M,true,0.8555908203125,0.8510953903198242,0.8599929809570312,4096
decommon,3,T,true,0.89178466796875,0.8874889373779297,0.8955917358398438,4096
decommon,3,N,true,0.8547210693359375,0.8501205444335938,0.8588640213012695,4096
decommon,4,H,true,0.8511428833007812,0.846809196472168,0.855186653137207,4096
decommon,4,M,true,0.8675460815429688,0.863410758972168,0.8712236404418945,4096
decommon,4,T,true,0.8874664306640625,0.8831623077392579,0.8909683227539062,4096
