layer,metric,role,band_index,band,estimate,ci_low,ci_high,bootstrap_sign_p,bootstrap_q
0,b,coarse,1,F1,6.534617237737755e-18,4.2701222443739166e-05,4.2701222443739166e-05,,
0,b,coarse,2,F2,1.0966051318476262e-20,1.202542815194545e-10,1.202542815194545e-10,,
0,b,coarse,3,F3,2.302870825347629e-21,5.3032140382372626e-12,5.3032140382372626e-12,,
0,b,coarse,4,F4,1.0625726677031429e-21,1.129060674149777e-12,1.129060674149777e-12,,
0,b,coarse,5,F5,5.038711833410577e-22,2.5388616940151626e-13,2.5388616940151626e-13,,
0,b,coarse,6,F6,2.760419944872815e-22,7.61991827205165e-14,7.61991827205165e-14,,
0,b,coarse,7,F7,1.8906986511649874e-22,3.5747413895170765e-14,3.5747413895170765e-14,,
0,b,coarse,8,F8,1.1533261292478993e-22,1.3301611604059309e-14,1.3301611604059309e-14,,
0,b,coarse,9,F9,4.632211430296955e-23,2.1457382734973734e-15,2.1457382734973734e-15,,
0,b,coarse,10,F10,2.741513157785202e-23,7.515894394309344e-16,7.515894394309344e-16,,
0,b,coarse,11,F11,7.562794509996641e-24,5.719586080043557e-17,5.719586080043557e-17,,
0,b,coarse,12,F12,1.2289540980136928e-23,1.5103281750246511e-16,1.5103281750246511e-16,,
0,b,coarse,13,F13,1.6070939418426607e-23,2.58275093790737e-16,2.58275093790737e-16,,
0,b,coarse,14,F14,9.453493137495801e-25,8.936853250067957e-19,8.936853250067957e-19,,
0,b,coarse,15,F15,3.7813972549983205e-24,1.429896520010884e-17,1.429896520010884e-17,,
0,b,coarse,16,F16,9.453493137495801e-25,8.936853250067957e-19,8.936853250067957e-19,,
0,b,fine,1,F1,3.744206242069433e-17,0.001401908038315177,0.001401908038315177,,
0,b,fine,2,F2,5.180514561676265e-20,2.6837731123739746e-09,2.6837731123739746e-09,,
0,b,fine,3,F3,1.4086649956056513e-20,1.9843370698446682e-10,1.9843370698446682e-10,,
0,b,fine,4,F4,5.880072757160368e-21,3.457525562949962e-11,3.457525562949962e-11,,
0,b,fine,5,F5,3.115871429626481e-21,9.708654765962524e-12,9.708654765962524e-12,,
0,b,fine,6,F6,1.5617170974743121e-21,2.4389602925435687e-12,2.4389602925435687e-12,,
0,b,fine,7,F7,1.2970192004831474e-21,1.6822588064219357e-12,1.6822588064219357e-12,,
0,b,fine,8,F8,5.133246399937366e-22,2.635021860246991e-13,2.635021860246991e-13,,
0,b,fine,9,F9,3.5664777653921553e-22,1.2719763651036574e-13,1.2719763651036574e-13,,
0,b,fine,10,F10,1.8906986511649874e-22,3.5747413895170765e-14,3.5747413895170765e-14,,
0,b,fine,11,F11,1.0806523499088498e-22,1.1678095013635093e-14,1.1678095013635093e-14,,
0,b,fine,12,F12,7.474168038333414e-23,5.586318786524476e-15,5.586318786524476e-15,,
0,b,fine,13,F13,7.355999199086203e-23,5.411072421695708e-15,5.411072421695708e-15,,
0,b,fine,14,F14,2.841956292492097e-23,8.07671556843542e-16,8.07671556843542e-16,,
0,b,fine,15,F15,2.2688382741129018e-23,5.147627114079574e-16,5.147627114079574e-16,,
0,b,fine,16,F16,5.908432890460133e-24,3.490957922107104e-17,3.490957922107104e-17,,
0,b,fine_vs_coarse_log_ratio,1,F1,1.745680961873136,3.491361923746272,3.491361923746272,1.0,1.0
0,b,fine_vs_coarse_log_ratio,2,F2,1.5526852238111524,3.1053704476223047,3.1053704476223047,1.0,1.0
0,b,fine_vs_coarse_log_ratio,3,F3,1.8110710077140264,3.622142015428053,3.622142015428053,1.0,1.0
0,b,fine_vs_coarse_log_ratio,4,F4,1.7108761228906104,3.421752245781221,3.421752245781221,1.0,1.0
0,b,fine_vs_coarse_log_ratio,5,F5,1.8219434979931244,3.6438869959862488,3.6438869959862488,1.0,1.0
0,b,fine_vs_coarse_log_ratio,6,F6,1.7329881903404623,3.4659763806809245,3.4659763806809245,1.0,1.0
0,b,fine_vs_coarse_log_ratio,7,F7,1.9257073845173365,3.851414769034673,3.851414769034673,1.0,1.0
0,b,fine_vs_coarse_log_ratio,8,F8,1.4930882314657727,2.9861764629315455,2.9861764629315455,1.0,1.0
0,b,fine_vs_coarse_log_ratio,9,F9,2.041129196614471,4.082258393228942,4.082258393228942,1.0,1.0
0,b,fine_vs_coarse_log_ratio,10,F10,1.931021495126061,3.862042990252122,3.862042990252122,1.0,1.0
0,b,fine_vs_coarse_log_ratio,11,F11,2.6594943063969856,5.318988612793971,5.318988612793971,1.0,1.0
0,b,fine_vs_coarse_log_ratio,12,F12,1.805289333029656,3.610578666059312,3.610578666059312,1.0,1.0
0,b,fine_vs_coarse_log_ratio,13,F13,1.5210886549179492,3.0421773098358984,3.0421773098358984,1.0,1.0
