layer,band,rank_start,rank_end,split_half_projector_overlap,random_expectation,normalized_excess,stability_pass,full_basis_orthogonality_error
0,F1,1,256,0.7885444625935873,0.0625,0.7744474267664931,True,3.5866152838629124e-08
0,F2,257,512,0.3968710777386902,0.0625,0.3566624829212695,True,3.5866152838629124e-08
0,F3,513,768,0.2403388760129418,0.0625,0.1896948010804712,False,3.5866152838629124e-08
0,F4,769,1024,0.1810854099123755,0.0625,0.1264911039065339,False,3.5866152838629124e-08
0,F5,1025,1280,0.1512269697988469,0.0625,0.09464210111877,False,3.5866152838629124e-08
0,F6,1281,1536,0.1354940223197446,0.0625,0.0778602904743942,False,3.5866152838629124e-08
0,F7,1537,1792,0.1276291263488739,0.0625,0.0694710681054655,False,3.5866152838629124e-08
0,F8,1793,2048,0.1240099165268971,0.0625,0.0656105776286902,False,3.5866152838629124e-08
0,F9,2049,2304,0.1248620838195507,0.0625,0.0665195560741874,False,3.5866152838629124e-08
0,F10,2305,2560,0.1284398444900563,0.0625,0.0703358341227267,False,3.5866152838629124e-08
0,F11,2561,2816,0.1388972465854671,0.0625,0.0814903963578315,False,3.5866152838629124e-08
0,F12,2817,3072,0.155384934366538,0.0625,0.0990772633243071,False,3.5866152838629124e-08
0,F13,3073,3328,0.1905973992298554,0.0625,0.1366372258451791,False,3.5866152838629124e-08
0,F14,3329,3584,0.2289629155970706,0.0625,0.177560443303542,False,3.5866152838629124e-08
0,F15,3585,3840,0.2756313503333943,0.0625,0.2273401070222873,False,3.5866152838629124e-08
0,F16,3841,4096,0.4355039706113076,0.0625,0.3978709019853948,True,3.5866152838629124e-08
1,F1,1,256,0.7867776984820514,0.0625,0.7725628783808548,True,3.5873503092636133e-08
1,F2,257,512,0.4842714019223636,0.0625,0.4498894953838545,True,3.5873503092636133e-08
1,F3,513,768,0.3326123402423341,0.0625,0.288119829591823,True,3.5873503092636133e-08
1,F4,769,1024,0.2652581710206527,0.0625,0.2162753824220296,False,3.5873503092636133e-08
1,F5,1025,1280,0.2223768011876853,0.0625,0.1705352546001977,False,3.5873503092636133e-08
1,F6,1281,1536,0.1988739948892214,0.0625,0.1454655945485028,False,3.5873503092636133e-08
1,F7,1537,1792,0.182893271591869,0.0625,0.1284194896979936,False,3.5873503092636133e-08
1,F8,1793,2048,0.1711438500858839,0.0625,0.1158867734249428,False,3.5873503092636133e-08
