layer,band_index,eigenvalue_mean,eigenvalue_min,eigenvalue_max,relative_eigenvalue_mean,band
0,1,0.006088899588576118,0.0015749031445011,0.1093983128666877,0.05565807578765923,F1
0,2,0.0011538155999914511,0.0008798322523944,0.0015694460598751,0.010546923163225853,F2
0,3,0.0007309561353849328,0.000610698130913,0.0008790593710727,0.006681603365087722,F3
0,4,0.0005275953448062364,0.0004559487279038,0.0006097617442719,0.004822700926377229,F4
0,5,0.00040085949729013826,0.0003521484904922,0.0004558613582048,0.003664220103455019,F5
0,6,0.0003121389038369137,0.0002764225646387,0.0003519517777021,0.002853233250656546,F6
0,7,0.0002463460938883535,0.0002189109800383,0.0002762402873486,0.0022518271756950766,F7
0,8,0.0001952522004557504,0.0001733803801471,0.0002186552883358,0.0017847825559588453,F8
0,9,0.00015407491378022656,0.0001361386821372,0.0001732499076751,0.001408384734123157,F9
0,10,0.00012012243075782421,0.0001049927159328,0.0001359970046905,0.0010980281835264577,F10
0,11,9.1252527141697e-05,7.817445293767378e-05,0.000104958700831,0.0008341310277142871,F11
0,12,6.582100003527103e-05,5.407098433352076e-05,7.812742842361331e-05,0.0006016637579728894,F12
0,13,4.3465172993251144e-05,3.4050030080834404e-05,5.3900588682154194e-05,0.00039731118199430116,F13
0,14,2.685548140135552e-05,2.089144618366845e-05,3.401972571737133e-05,0.00024548350607633357,F14
0,15,1.6446838966288624e-05,1.2656926628551446e-05,2.0781684725079685e-05,0.000150339054920575,F15
0,16,9.58089029978737e-06,6.217184363777051e-06,1.2636576684599277e-05,8.757804438411147e-05,F16
1,1,0.16097388125490394,0.0545729026198387,3.870997905731201,0.04158459528396389,F1
1,2,0.039632452797377433,0.0295929387211799,0.0543186552822589,0.010238303859245056,F2
1,3,0.023944748310896054,0.0194190386682748,0.029538644477725,0.006185678446233343,F3
1,4,0.01630178129198607,0.0136564057320356,0.0194029361009597,0.0042112606849645535,F4
1,5,0.01166819583886531,0.0099360765889287,0.0136410305276513,0.003014260436976685,F5
1,6,0.008599715431046158,0.0074139223434031,0.0099270306527614,0.0022215758418039242,F6
1,7,0.006457565928940263,0.0056152259930968,0.0074074850417673,0.0016681915325708074,F7
1,8,0.004910817417112362,0.004289717413485,0.0056112627498805,0.0012686179472847351,F8
1,9,0.003771471861909906,0.0033008027821779,0.004284702707082,0.0009742893056919328,F9
1,10,0.002905613998336728,0.0025467358063906,0.0032976630609482,0.0007506111005729754,F10
1,11,0.002246617051241577,0.0019685465376824,0.0025434757117182,0.0005803715491334195,F11
1,12,0.001732855681893804,0.0015136771835386,0.0019683630671352,0.00044765089625289494,F12
1,13,0.0013280957837195695,0.0011560957645997,0.0015133699635043,0.0003430887373390508,F13
1,14,0.0010032406971731194,0.0008615945698693,0.0011556036770343,0.00025916849391409804,F14
1,15,0.0007366493582594047,0.0006171736167743,0.0008610328659415,0.0001902996013427504,F15
1,16,0.0004937960577535195,0.0003016062255483,0.0006162725621834,0.00012756298757545304,F16
2,1,0.2938610010023694,0.0830971673130989,16.437740325927734,0.017877213970758074,F1
2,2,0.061308083531912375,0.0468582920730114,0.0829665660858154,0.0037297148097180078,F2
2,3,0.038651196606224354,0.0322226136922836,0.0467182211577892,0.002351369217413532,F3
2,4,0.027618222768069196,0.0237721353769302,0.0321657918393611,0.0016801714968392191,F4
2,5,0.020762485321029044,0.0181577838957309,0.023741228505969,0.0012630985104612586,F5
2,6,0.01604134145964049,0.0141538865864276,0.0181321557611227,0.0009758848321954067,F6
2,7,0.012589475340064334,0.0111794667318463,0.0141481487080454,0.0007658884427201848,F7
2,8,0.00997597532841605,0.0088883647695183,0.0111592337489128,0.0006068945688769582,F8
2,9,0.00794785374273483,0.0070860884152352,0.0088832871988415,0.00048351255009167345,F9
2,10,0.006345556972519214,0.0056561804376542,0.0070697898045182,0.00038603584475108084,F10
2,11,0.005064376693553592,0.0045112865045666,0.0056521273218095,0.00030809445782305314,F11
2,12,0.0040230010908998744,0.0035728465300053,0.0045054792426526,0.000244741735246509,F12
2,13,0.0031653007363274294,0.0027944112662225,0.0035660981666296,0.00019256300887865663,F13
2,14,0.0024562587204854424,0.0021391115151345,0.0027921327855437,0.0001494280035930711,F14
2,15,0.0018472085330358296,0.0015663478989154,0.0021380826365202,0.00011237606242760365,F15
2,16,0.0012662285068926794,0.0007670927443541,0.0015630656853318,7.703178671678312e-05,F16
3,1,0.4771353622491005,0.1126407459378242,39.223392486572266,0.012164561298782127,F1
3,2,0.08273149383603591,0.0634791329503059,0.1123478412628173,0.0021092386096984426,F2
3,3,0.052670867255073923,0.0441113859415054,0.0632207691669464,0.0013428432350185765,F3
3,4,0.03823692823061715,0.033192541450262,0.0441045463085174,0.0009748501036391816,F4
3,5,0.029305982337973498,0.0258501227945089,0.0331625863909721,0.0007471557272360898,F5
3,6,0.023064621957018923,0.0205572992563247,0.0258302502334117,0.0005880323066117516,F6
3,7,0.0184816008622874,0.0165718160569667,0.0205345395952463,0.0004711882295396164,F7
3,8,0.014948831347282927,0.0134496493265032,0.0165629461407661,0.0003811203060112336,F8
3,9,0.012165350071882082,0.0109702758491039,0.0134439831599593,0.0003101554786737211,F9
3,10,0.009921510270942183,0.0089551527053117,0.0109589174389839,0.0002529488053420359,F10
3,11,0.008099018292341447,0.0073099373839795,0.0089506916701793,0.00020648439053588125,F11
3,12,0.006592246025320442,0.0059202536940574,0.007295505143702,0.0001680692466256035,F12
3,13,0.005320606343957427,0.0047532366588711,0.0059189489111304,0.00013564880564007422,F13
3,14,0.004243133766067281,0.0037535987794399,0.0047510722652077,0.00010817865301983613,F14
3,15,0.0032971183463814157,0.0028541176579892,0.0037494872231036,8.405999933611561e-05,F15
3,16,0.002339546120765538,0.0011927529703825,0.0028440200258046,5.9646705000504736e-05,F16
4,1,0.6970293672638945,0.1806238144636154,42.63953399658203,0.01634702122494505,F1
4,2,0.1318917211028747,0.1010143533349037,0.1802040338516235,0.003093179233934523,F2
4,3,0.08506480863434258,0.0723226740956306,0.1008478552103042,0.0019949751008338677,F3
4,4,0.06318633920454882,0.0554232560098171,0.0721635669469833,0.0014818721801605934,F4
4,5,0.04941442693234417,0.0440902151167392,0.0554097332060337,0.0011588875932908441,F5
4,6,0.03967402798298276,0.0357264429330825,0.0440467707812786,0.0009304517255315468,F6
4,7,0.032381783188611686,0.0293009411543607,0.0356953851878643,0.0007594309823180848,F7
4,8,0.026646465885278255,0.0242174193263053,0.0292796045541763,0.0006249239470443609,F8
4,9,0.02205499734554901,0.0200441963970661,0.0241716876626014,0.0005172429264192914,F9
4,10,0.018292740031029046,0.0166458021849393,0.0200190376490354,0.0004290089106624215,F10
4,11,0.015166175169724688,0.0137920686975121,0.0166437607258558,0.0003556834174345867,F11
4,12,0.01252578477942729,0.0113442242145538,0.0137749332934618,0.0002937598891308043,F12
