layer,maximum_projection_energy_relative_error
0,0.0
1,6.400007919182826e-07
2,3.512301418595598e-07
3,2.4434163492514926e-07
4,3.764168639008858e-07
5,3.333011022732535e-07
6,6.622995556426758e-07
7,1.7667071006144397e-06
8,1.3445377362586441e-06
9,1.0338663969378104e-06
10,1.1543008895387175e-06
11,9.453328289055207e-07
12,1.1037163858418353e-06
13,7.844017204661213e-07
14,7.967913688844419e-07
15,7.669889328099089e-07
16,7.411589422190445e-07
17,8.531122830390814e-07
18,9.75673401626409e-07
19,7.463780775651685e-07
20,6.142452093627071e-07
21,4.871402552453219e-07
22,6.342135634440638e-07
23,4.0345938145947e-07
24,4.367540782368451e-07
25,2.926593083429907e-07
26,3.570971500721498e-07
27,3.5732088576878596e-07
28,2.908257954459259e-07
29,2.968575927297934e-07
30,3.454402701663639e-07
31,2.404744918749202e-07
32,3.735099198820535e-07
33,2.58331056102179e-07
34,2.416723248188646e-07
35,3.111191233529098e-07
36,4.2076155182257935e-07
