layer,omitted_parent,R
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
1,0,-0.029350389037943847
1,1,-0.20544050763678023
1,2,-0.20483928157311185
1,3,-0.24715153476035834
1,4,-0.2872675395156963
1,5,-0.1776788321669107
1,6,0.08191739404339114
1,7,-0.199205976547043
2,0,0.04857169392895677
2,1,-0.08715491745038723
2,2,-0.07027461665077857
2,3,-0.10351989060172748
2,4,-0.12227917654101828
2,5,-0.03368414802376907
2,6,0.21510635329195973
2,7,-0.06656005525661968
3,0,0.1347621159393481
3,1,-0.006350508031373511
3,2,-0.016380509698742794
3,3,-0.00530530034707736
3,4,-0.022585562684320576
3,5,0.026688108665922902
3,6,0.3351539124719464
3,7,0.02223928420050795
4,0,0.010294595364434719
4,1,-0.056638206229220084
4,2,-0.08276843649322199
4,3,-0.09067127440692097
4,4,-0.11080371229019588
4,5,-0.08515996627890826
4,6,0.1434005472323612
4,7,-0.030194870696158435
5,0,0.10542772085038413
5,1,0.0018454564208590942
5,2,-0.03231892349229398
5,3,0.007421130601756241
5,4,-0.04461078124384742
5,5,-0.0023424168709592933
5,6,0.16744200153345723
5,7,0.04915742017641421
6,0,0.17224656740828592
6,1,0.06365500171843302
6,2,0.01580769952513401
6,3,0.060773972044744995
6,4,0.001251024449165493
6,5,0.0798857465031525
6,6,0.21137561484049333
6,7,0.11779813315299548
7,0,0.13032572410571042
7,1,0.019957841999496212
7,2,-0.048731269095198496
7,3,0.03469676732075685
7,4,-0.06068904028765536
7,5,0.0548747417205466
7,6,0.19450283493200804
7,7,0.06511907989597
8,0,0.1797236713067883
8,1,-0.030106260732512595
8,2,-0.12265453314175755
8,3,-0.020621631583159144
8,4,-0.15488933520251771
8,5,-0.019436544760738327
8,6,0.1809746820503398
8,7,-0.0039844884255306676
9,0,0.1737328826879792
9,1,-0.018606245428915126
9,2,-0.09970127238629833
9,3,-0.03180815708800415
9,4,-0.14357569632998296
9,5,0.005795810961782903
9,6,0.18898596174654064
9,7,0.0029640483405970496
10,0,0.1359743897450012
10,1,-0.043213162082537206
10,2,-0.108500377768197
10,3,-0.05214310444654234
10,4,-0.14014085605562773
10,5,-0.0013724897464347232
10,6,0.17577179482280456
10,7,-0.02447823976493713
11,0,0.1491261924066091
11,1,-0.062098794704975493
11,2,-0.10747666257625964
11,3,-0.06271749279917545
11,4,-0.13701786161454618
11,5,-0.01768299804809561
11,6,0.1517172400046643
11,7,-0.03977031578369384
12,0,0.16501061331437425
12,1,-0.03740591717423668
12,2,-0.047988361590775706
12,3,-0.023218654199476958
12,4,-0.06024265236032355
12,5,0.029410783208466424
12,6,0.16348374149908945
12,7,0.038249190221895484
13,0,0.16150477334795613
13,1,-0.061881823407385836
13,2,-0.059875432012711234
13,3,-0.051497796635776166
13,4,-0.06817324174735959
13,5,0.02146797649420265
13,6,0.14709399748449356
13,7,0.02193245019646345
14,0,0.17779871795890562
14,1,-0.08741812551419958
14,2,-0.0806602038372085
14,3,-0.07402575900611957
14,4,-0.09040963118971784
14,5,-0.010037753248681367
14,6,0.13141349271978192
14,7,-0.006715631934684866
15,0,0.19357129830329275
15,1,-0.0738869897540117
15,2,-0.05946593276661377
15,3,-0.06160524372672113
15,4,-0.056055033514928826
15,5,0.010374126144543996
15,6,0.13420876583834612
15,7,0.0155266438708671
16,0,0.19505478278111976
16,1,-0.0756913383454383
16,2,-0.05756453512026444
16,3,-0.069312057861791
16,4,-0.05068923896775974
16,5,0.00839845667245247
16,6,0.12656144516785048
16,7,0.01572928600499727
17,0,0.18917205911345902
17,1,-0.05226986882406755
17,2,-0.032422962900558724
17,3,-0.04161491423197486
17,4,-0.010657652311772313
17,5,0.03875691643500888
17,6,0.144352066240346
17,7,0.04565169480598003
18,0,0.1566294587773461
18,1,-0.06252258599958524
18,2,-0.06256225022499677
18,3,-0.07511401131184772
18,4,-0.008999519479499478
18,5,0.017714370994742185
18,6,0.11182937932200594
18,7,0.028674004464344954
19,0,0.1423223748371346
19,1,-0.07079597120403759
19,2,-0.0786995724505706
19,3,-0.08721258019730067
19,4,0.01139304272206893
19,5,0.005403406965301833
19,6,0.09760227288824065
19,7,0.015474690293596449
20,0,0.14293644569559963
20,1,-0.06375429449236851
20,2,-0.08244371555580854
20,3,-0.0951983629021576
20,4,0.03676686653901191
20,5,0.01728488622387337
20,6,0.09434907172810991
20,7,0.003303625913354321
21,0,0.13089176935200827
21,1,-0.062215227768119837
21,2,-0.10223793940035994
21,3,-0.13290822236483105
21,4,0.054526943104471336
21,5,0.00799972967380549
21,6,0.07488606963217553
21,7,-0.02035120750334954
22,0,0.17155097240299422
22,1,-0.02959170572447137
22,2,-0.07257900117209888
22,3,-0.08343524749664591
22,4,0.10896538760830296
22,5,0.047216066662972275
22,6,0.11510981734394457
22,7,0.017967069357211537
23,0,0.22882290818503323
23,1,0.023424211363607866
23,2,-0.012496070310979056
23,3,-0.012639143082629438
23,4,0.18301447963287884
23,5,0.11561583897283086
23,6,0.18855029554007063
23,7,0.08336298339037362
24,0,0.2582926297149919
24,1,0.09250727180638812
24,2,0.08529607870636055
24,3,0.09595370899623494
24,4,0.25554753966691035
24,5,0.22514547826959166
24,6,0.27752095862265563
24,7,0.17061492644937937
25,0,-0.04594782803994152
25,1,-0.11313403309996002
25,2,-0.05665839595812617
25,3,-0.06373393174495082
25,4,0.016844165839928336
25,5,0.07669255624968868
25,6,0.09525553224824762
25,7,0.02366964588800988
26,0,-0.03366810345149657
26,1,-0.08747234129982809
26,2,-0.032502437296434566
26,3,-0.05037361441714292
26,4,0.06072743298901117
26,5,0.09426398099354953
26,6,0.12197083461753798
26,7,0.04035702324300339
27,0,-0.03635392018087935
27,1,-0.07286401150756436
27,2,-0.016816386221117943
27,3,-0.02282958051485347
27,4,0.05662415368055157
27,5,0.11523884513407746
27,6,0.12645312611606918
27,7,0.12536213472966923
28,0,0.19426221959170498
28,1,0.2034364710368603
28,2,0.23864724317159783
28,3,0.1983647567743577
28,4,0.2832911670192801
28,5,0.36774145786213436
28,6,0.35716806643172483
28,7,0.3950131899233049
29,0,0.24090079908485645
29,1,0.2695984246099877
29,2,0.3140265170826173
29,3,0.2589430981272549
29,4,0.3523149995857141
29,5,0.4204871859994302
29,6,0.44091938564316335
29,7,0.4454893007466689
30,0,0.3606077804802265
30,1,0.37190446071119154
30,2,0.40850568403323567
30,3,0.40903525822624
30,4,0.44483537085622715
30,5,0.548000981929958
30,6,0.5104734442026807
30,7,0.5863312271794361
31,0,0.3692617897147791
31,1,0.3928102862564034
31,2,0.4002051538305501
31,3,0.3909472453728606
31,4,0.44016271437136767
31,5,0.5283010605346035
31,6,0.525421910876895
31,7,0.5829748064989839
32,0,0.3981075473865439
32,1,0.43520446063433527
32,2,0.4269515133316223
32,3,0.4325728616998815
32,4,0.47576788895705724
32,5,0.556471932965608
32,6,0.5569035851618607
32,7,0.6010041363837307
33,0,0.419814906511775
33,1,0.4548666548347214
33,2,0.4653890674155685
33,3,0.4580756579635003
33,4,0.500958664088208
33,5,0.5814118821552666
33,6,0.5667180818381309
33,7,0.6250112609480534
34,0,0.4688488873964859
34,1,0.5127541307012972
34,2,0.5141184636253795
34,3,0.5060811634801791
34,4,0.5527690002405855
34,5,0.6311186923170445
34,6,0.6180898573902839
34,7,0.6574335499509469
35,0,0.5203906751412785
35,1,0.5561557977507018
35,2,0.5613918322712239
35,3,0.5577562040623797
35,4,0.5912346444107369
35,5,0.673725326239258
35,6,0.66876513207575
35,7,0.6885113866700928
36,0,0.5205879281129167
