layer,task,alpha,confirmation_accuracy,permutation_q95,permutation_p,length_only_accuracy,capability_pass
0,coarse,0.01,0.125,0.125,1.0,0.19140625,False
0,fine,0.01,0.125,0.125,1.0,0.18359375,False
1,coarse,1.0,1.0,0.16015625,0.0001999600079984003,0.19140625,True
1,fine,0.01,0.99609375,0.16015625,0.0001999600079984003,0.18359375,True
2,coarse,0.1,1.0,0.16015625,0.0001999600079984003,0.19140625,True
2,fine,0.01,1.0,0.16015625,0.0001999600079984003,0.18359375,True
3,coarse,0.01,1.0,0.16015625,0.0001999600079984003,0.19140625,True
3,fine,0.01,1.0,0.16015625,0.0001999600079984003,0.18359375,True
4,coarse,0.01,1.0,0.16015625,0.0001999600079984003,0.19140625,True
4,fine,0.01,0.99609375,0.16015625,0.0001999600079984003,0.18359375,True
5,coarse,0.01,1.0,0.16015625,0.0001999600079984003,0.19140625,True
5,fine,0.01,0.96875,0.16015625,0.0001999600079984003,0.18359375,True
6,coarse,0.01,0.99609375,0.16015625,0.0001999600079984003,0.19140625,True
6,fine,0.01,0.94921875,0.16015625,0.0001999600079984003,0.18359375,True
7,coarse,0.01,0.9921875,0.16015625,0.0001999600079984003,0.19140625,True
7,fine,0.01,0.94921875,0.16015625,0.0001999600079984003,0.18359375,True
8,coarse,0.01,0.98828125,0.16015625,0.0001999600079984003,0.19140625,True
8,fine,0.01,0.94921875,0.16015625,0.0001999600079984003,0.18359375,True
9,coarse,0.1,0.98046875,0.16015625,0.0001999600079984003,0.19140625,True
9,fine,0.01,0.87109375,0.16015625,0.0001999600079984003,0.18359375,True
10,coarse,0.01,0.9921875,0.16015625,0.0001999600079984003,0.19140625,True
10,fine,0.01,0.89453125,0.16015625,0.0001999600079984003,0.18359375,True
11,coarse,0.01,0.98828125,0.16015625,0.0001999600079984003,0.19140625,True
11,fine,0.01,0.8984375,0.16015625,0.0001999600079984003,0.18359375,True
12,coarse,0.01,0.99609375,0.16015625,0.0001999600079984003,0.19140625,True
12,fine,0.01,0.921875,0.16015625,0.0001999600079984003,0.18359375,True
13,coarse,0.01,0.99609375,0.16015625,0.0001999600079984003,0.19140625,True
13,fine,0.01,0.9453125,0.16015625,0.0001999600079984003,0.18359375,True
