layer,band_index,band,log_j_fine_over_coarse
1,1,F1,-0.10554158394411926
1,2,F2,-0.20022164314206742
1,3,F3,-0.13538543967260414
1,4,F4,-0.22277963134388462
1,5,F5,-0.20812378913574914
1,6,F6,-0.1961705489714973
1,7,F7,-0.21925381743283393
1,8,F8,-0.19255740635769286
1,9,F9,-0.18555238930592047
1,10,F10,-0.23290948098600633
1,11,F11,-0.055824216803382516
1,12,F12,-0.08739703574994306
1,13,F13,-0.09221549412235013
1,14,F14,-0.11036793838304454
1,15,F15,-0.03214886543684945
1,16,F16,0.003494599887640863
12,1,F1,-0.012655222113644659
12,2,F2,0.12521685666534454
12,3,F3,0.13512196099381077
12,4,F4,0.07629394130726448
12,5,F5,0.05314970762556807
12,6,F6,0.00033681870481392794
12,7,F7,-0.03202163868107238
12,8,F8,0.024775029739382306
12,9,F9,-0.018972836388380543
12,10,F10,0.0330541872510078
12,11,F11,-0.06001165506843618
12,12,F12,-0.01849372966955706
12,13,F13,-0.041011279956210026
12,14,F14,0.013002718269235228
12,15,F15,0.01776665038823545
12,16,F16,0.00909521255789902
24,1,F1,0.14589460565670484
24,2,F2,0.14526071795801926
24,3,F3,0.15074005438161828
24,4,F4,0.19538333615640716
24,5,F5,0.2118815601277579
24,6,F6,0.17764210974039557
24,7,F7,0.27178783937517714
24,8,F8,0.14715045252015532
24,9,F9,0.24344939918895034
24,10,F10,0.25944238976443096
24,11,F11,0.17178581036169388
24,12,F12,0.11487344621509067
24,13,F13,0.17828933031155714
24,14,F14,0.19695021640775898
24,15,F15,0.20173369929183102
24,16,F16,0.25868954938152955
28,1,F1,0.004296236568035632
28,2,F2,0.20373844079293713
28,3,F3,0.2675536545705649
28,4,F4,0.2201758228890994
28,5,F5,0.3288757152962365
28,6,F6,0.35628308377799134
28,7,F7,0.3572884681680941
28,8,F8,0.41720657822779933
28,9,F9,0.38699222868953287
28,10,F10,0.34294436398658845
28,11,F11,0.3476634214601836
28,12,F12,0.37833709849888914
28,13,F13,0.39858715506707854
28,14,F14,0.35519385184418206
28,15,F15,0.46252548548331834
28,16,F16,0.40554542842054386
30,1,F1,0.2614946055131649
30,2,F2,0.3375546978314756
30,3,F3,0.5135601012279707
30,4,F4,0.3773960776462937
30,5,F5,0.32425512768764664
30,6,F6,0.5503230761392989
30,7,F7,0.48744994642862094
30,8,F8,0.41862723820807846
30,9,F9,0.525443774632444
30,10,F10,0.5010244765603858
30,11,F11,0.530802096111675
30,12,F12,0.4958649815718717
30,13,F13,0.47974136516737126
30,14,F14,0.5287221939560811
30,15,F15,0.6418255221824554
30,16,F16,0.647249582672138
35,1,F1,0.30147122025969636
35,2,F2,0.5810494523336014
35,3,F3,0.49786929890944814
35,4,F4,0.6153200301498135
35,5,F5,0.7089756102278327
35,6,F6,0.5823680067499529
35,7,F7,0.6929699323403161
35,8,F8,0.6401548204572148
35,9,F9,0.6598011225300539
35,10,F10,0.7152062720251042
35,11,F11,0.6539002186159911
35,12,F12,0.6350324116613127
35,13,F13,0.6637890856371662
35,14,F14,0.6925158240833534
35,15,F15,0.6835212080976417
35,16,F16,0.6830013592255617
36,1,F1,0.3461942917078625
36,2,F2,0.5628873697959953
36,3,F3,0.5688796917742995
36,4,F4,0.7060039422208196
36,5,F5,0.659351925287541
36,6,F6,0.6722421396198869
36,7,F7,0.6631486728168697
36,8,F8,0.680556699356344
36,9,F9,0.6389927825468659
36,10,F10,0.7687262842314457
36,11,F11,0.7031462439829499
36,12,F12,0.7214238041743674
36,13,F13,0.6844242388271475
36,14,F14,0.6469503345560257
36,15,F15,0.7472546801317022
36,16,F16,0.6656900759202443
