layer,role,broad_band,b,q,j,e
1,coarse,head_F1,2.4581013349234127e-05,0.0001923265951276,0.4786940515041351,1.612365174438028
1,coarse,middle_F2_F8,1.930854861192139e-05,0.001843203657642457,0.5780444996697562,1.266523511805333
1,coarse,tail_F9_F16,1.0523021046537906e-05,0.0068147949316208,0.4798247590661049,0.690246265451248
1,fine,head_F1,1.9014665667782538e-05,0.0001457342431582,0.4307466447353363,1.7395355230380949
1,fine,middle_F2_F8,1.3179896476296043e-05,0.0012580340023191287,0.47480849283082144,1.205748158345362
1,fine,tail_F9_F16,7.952531007049402e-06,0.005412910290864987,0.43202129378914833,0.7275284470693307
12,coarse,head_F1,0.0090712551027536,0.0021379433939517,0.300272673368454,2.330490918466856
12,coarse,middle_F2_F8,0.004331811929919857,0.010350172513531514,0.30026355385780334,1.1128833054336889
12,coarse,tail_F9_F16,0.0028606023406609377,0.011483858129086425,0.30515606328845024,0.7349156980748754
12,fine,head_F1,0.008596166037023,0.002047201179918,0.2964965999126434,2.2689877704114707
12,fine,middle_F2_F8,0.004341226669826628,0.010126289663980215,0.31684900181634085,1.1458818012584666
12,fine,tail_F9_F16,0.0027039991982746375,0.01085517646616235,0.3027403727173805,0.7137299449153511
24,coarse,head_F1,0.1651771813631057,0.00398239721497,0.2369434237480163,3.055947953635265
24,coarse,middle_F2_F8,0.061498158744403245,0.015430725492519228,0.24393236637115476,1.1377792671868017
24,coarse,tail_F9_F16,0.03364406060427421,0.034948499260738675,0.24543547257781023,0.6224497676201273
24,fine,head_F1,0.1870404928922653,0.0044734727909167,0.2741611301898956,2.995297325391102
24,fine,middle_F2_F8,0.07100744598678176,0.017916255651168556,0.2938246599265507,1.13712496025964
24,fine,tail_F9_F16,0.03937785234302279,0.041042861956958734,0.3009679839015007,0.6306034269843368
28,coarse,head_F1,3.9443092346191406,0.0291105905674277,0.9477953910827636,3.071454682875089
28,coarse,middle_F2_F8,1.23151433467865,0.07313831714555745,0.6460458380835397,0.9589867947161042
28,coarse,tail_F9_F16,0.9977518767118454,0.2469970083087041,0.693847730755806,0.7769547192640227
28,fine,head_F1,2.424361228942871,0.0199873992500851,0.9518761038780212,2.3162941145651814
28,fine,middle_F2_F8,1.060353968824659,0.06425881792574932,0.880771109036037,1.0130881603049535
28,fine,tail_F9_F16,0.8624555617570877,0.2103210128557823,1.0205218940973282,0.8240111737156577
30,coarse,head_F1,8.8287992477417,0.0378841385656256,0.969447910785675,2.311065704728144
30,coarse,middle_F2_F8,3.5021944727216447,0.11721037358649027,0.7663010273660932,0.9167499803855838
30,coarse,tail_F9_F16,3.472436934709549,0.4515645569006409,0.8404803425073624,0.9089605150656548
30,fine,head_F1,5.999121189117432,0.0289843593745197,1.2591867446899414,1.9434757670863425
30,fine,middle_F2_F8,2.9226600102015903,0.09808670304066368,1.1783964123044695,0.9468251642528914
30,fine,tail_F9_F16,2.866382449865341,0.36873563455777203,1.4537274092435837,0.9285934814286392
35,coarse,head_F1,38.08243560791016,0.0556828412040462,1.054682731628418,2.1172768306643133
35,coarse,middle_F2_F8,17.493596485682897,0.18567036206309412,0.8236790725163051,0.9725950016819216
35,coarse,tail_F9_F16,15.905832171440125,0.5489860728527788,0.8756841942667961,0.8843197498121709
35,fine,head_F1,24.967010498046875,0.0401123828083123,1.4257688522338867,1.6814341081089137
35,fine,middle_F2_F8,15.037031037466866,0.16031565543628057,1.5276368686131068,1.0126873969579602
35,fine,tail_F9_F16,13.419002890586853,0.4595382057642666,1.7169352322816849,0.9037192962613572
36,coarse,head_F1,54.1534538269043,0.0558708843484955,0.7957971692085266,2.597605614164523
36,coarse,middle_F2_F8,20.278487341744558,0.18628867381974687,0.8042284505707877,0.9727082733088734
36,coarse,tail_F9_F16,17.18203902244568,0.5205284425221043,0.8567890003323555,0.824179398975377
36,fine,head_F1,42.76072692871094,0.0419715812169922,1.1250003576278689,2.3871009508395717
36,fine,middle_F2_F8,17.883173533848353,0.16450403197554647,1.5350484677723475,0.9983212076316627
36,fine,tail_F9_F16,14.833625435829163,0.44494025582627106,1.719256967306137,0.8280813710510344
