layer,condition,R,delta_middle_e,delta_tail_e,delta_middle_q_enrichment,delta_tail_q_enrichment
0,length_template_bundle_residualized,1.4188918985351249,1.4240583461063059,1.4217653720986971,,
0,eigen_floor_1e-06,40.972841608433555,,,-0.11203823160258342,0.1800658708433504
0,eigen_floor_1e-05,40.972841608433555,,,-0.11203823160258342,0.1800658708433504
0,eigen_floor_1e-04,40.972841608433555,,,-0.11203668960788446,0.17937662324085923
0,calibration_half0_basis,40.972841608433555,0.5903278782431589,0.5694316898236111,,
0,calibration_half1_basis,40.972841608433555,-0.03546129186796242,0.009353256236652579,,
0,wrong_layer_basis_18,40.972841608433555,0.04629721148304915,0.06682486763848074,,
1,length_template_bundle_residualized,0.2893561235388817,-0.04582248459428692,0.055744316918222125,,
1,eigen_floor_1e-06,-0.16240611712008687,,,-0.12429351758136079,0.027352392365283005
1,eigen_floor_1e-05,-0.16240611712008687,,,-0.12429351758136079,0.027352392365283005
1,eigen_floor_1e-04,-0.16240611712008687,,,-0.12399776639643786,0.027318288446504115
1,calibration_half0_basis,-0.16240611712008687,-0.05491172244468683,0.06178438222383784,,
1,calibration_half1_basis,-0.16240611712008687,-0.0411582926246748,0.03765671275049281,,
1,wrong_layer_basis_19,-0.16240611712008687,0.01730668764977312,-0.0041290130375163285,,
2,length_template_bundle_residualized,0.33866678289072216,-0.047169095314580904,0.055770351236908135,,
2,eigen_floor_1e-06,-0.030778626650028198,,,-0.07869771598358874,0.0189083226768013
2,eigen_floor_1e-05,-0.030778626650028198,,,-0.07869771598358874,0.0189083226768013
2,eigen_floor_1e-04,-0.030778626650028198,,,-0.07298709452394975,0.018387156081540863
2,calibration_half0_basis,-0.030778626650028198,-0.04287768412646474,0.04154130016029094,,
2,calibration_half1_basis,-0.030778626650028198,-0.05036756601492512,0.0558052376976869,,
2,wrong_layer_basis_20,-0.030778626650028198,-0.0063958107660737045,0.032160136356594954,,
3,length_template_bundle_residualized,0.4436683584834365,-0.05026465853391798,0.017918802622949793,,
3,eigen_floor_1e-06,0.054419785387659375,,,-0.09126427383531184,0.023282557493034196
3,eigen_floor_1e-05,0.054419785387659375,,,-0.09126427383531184,0.023282557493034196
3,eigen_floor_1e-04,0.054419785387659375,,,-0.0835328782805405,0.023836135319987954
3,calibration_half0_basis,0.054419785387659375,-0.04898008793909694,0.007126407150220262,,
3,calibration_half1_basis,0.054419785387659375,-0.03916450941281521,-0.0005501403911680916,,
3,wrong_layer_basis_21,0.054419785387659375,0.016675787451737614,-0.0037484597036011405,,
4,length_template_bundle_residualized,0.43979608853817725,-0.015233365018324757,0.02664125731423343,,
4,eigen_floor_1e-06,-0.03948284670693749,,,-0.04855825104612978,0.013024501253567815
4,eigen_floor_1e-05,-0.03948284670693749,,,-0.04855825104612978,0.013024501253567815
4,eigen_floor_1e-04,-0.03948284670693749,,,-0.047612097773882436,0.012867601119323509
4,calibration_half0_basis,-0.03948284670693749,-0.0015344115725780068,0.010415863893796678,,
4,calibration_half1_basis,-0.03948284670693749,0.009508768256145238,-0.004895879683101021,,
4,wrong_layer_basis_22,-0.03948284670693749,0.008803321812148157,0.07197146166781206,,
5,length_template_bundle_residualized,0.4626883774233581,-0.04301653444199384,0.01388299579298304,,
5,eigen_floor_1e-06,0.030312180578241154,,,-0.04975116297675771,0.012002532045979102
5,eigen_floor_1e-05,0.030312180578241154,,,-0.04975116297675771,0.012002532045979102
5,eigen_floor_1e-04,0.030312180578241154,,,-0.04973810180642837,0.012000130874601594
5,calibration_half0_basis,0.030312180578241154,-0.020654309151032158,-0.00940506300983776,,
5,calibration_half1_basis,0.030312180578241154,-0.022053297532379286,0.00018981593388138617,,
5,wrong_layer_basis_23,0.030312180578241154,0.02281963695912788,0.004185062404565362,,
6,length_template_bundle_residualized,0.48237856123807266,-0.025782986740580143,-0.010225860725070295,,
6,eigen_floor_1e-06,0.08883707845755547,,,-0.023104642202699477,0.006219356389391011
6,eigen_floor_1e-05,0.08883707845755547,,,-0.023104642202699477,0.006219356389391011
6,eigen_floor_1e-04,0.08883707845755547,,,-0.023104642202699477,0.006219356389391011
6,calibration_half0_basis,0.08883707845755547,-0.018865973052895096,-0.011619428106552879,,
6,calibration_half1_basis,0.08883707845755547,-0.0210143859374521,-0.0050949607771370135,,
