layer,template_index,split,D_coarse,D_fine,R
0,0,design,0.0,0.0,0.0
0,1,design,0.0,0.0,0.0
0,2,confirmation,0.0,0.0,0.0
0,3,confirmation,0.0,0.0,0.0
1,0,design,0.7721421718597412,0.7014910578727722,-0.09596054120027556
1,1,design,0.8377246856689453,0.7710760235786438,-0.08290253654831936
1,2,confirmation,0.9068503975868225,0.7876046895980835,-0.14098119345323262
1,3,confirmation,0.7306283712387085,0.6931214332580566,-0.05269973419459372
2,0,design,0.6868581771850586,0.7212345004081726,0.04883649464571925
2,1,design,0.7453835606575012,0.7741241455078125,0.0378333230291088
2,2,confirmation,0.7909325957298279,0.7787865996360779,-0.015475683216731666
2,3,confirmation,0.6676348447799683,0.7251872420310974,0.08268850185669302
3,0,design,0.5375186204910278,0.6853068470954895,0.24290328775013845
3,1,design,0.5803142786026001,0.7271297574043274,0.22553512852228452
3,2,confirmation,0.6421158313751221,0.7549506425857544,0.16188366293501918
3,3,confirmation,0.5517215728759766,0.7107864022254944,0.253328443795288
4,0,design,0.6200333833694458,0.7734870910644531,0.22113566014769367
4,1,design,0.5758705139160156,0.7809587121009827,0.3046394498196379
4,2,confirmation,0.6301397681236267,0.799680769443512,0.23827096089132097
4,3,confirmation,0.6456567049026489,0.7904143333435059,0.20228933458869616
5,0,design,0.6317899227142334,0.7857687473297119,0.21810559642550156
5,1,design,0.5419808626174927,0.7671646475791931,0.34747075071734623
5,2,confirmation,0.5550575256347656,0.7546581029891968,0.3071930447938863
5,3,confirmation,0.6229908466339111,0.7563402652740479,0.1939595349842991
6,0,design,0.6648643016815186,0.8347386717796326,0.22753574572610064
6,1,design,0.5446336269378662,0.791495144367218,0.37381042012472165
6,2,confirmation,0.5416743755340576,0.7710435390472412,0.35307980509766174
6,3,confirmation,0.640711784362793,0.7758507132530212,0.19138040042186186
7,0,design,0.7706164717674255,0.8970971703529358,0.15197337713106665
7,1,design,0.5938738584518433,0.8519694209098816,0.3608836979318865
7,2,confirmation,0.5660477876663208,0.8020288944244385,0.34846613003317406
7,3,confirmation,0.753290057182312,0.8382039666175842,0.10681111205426215
8,0,design,0.8218198418617249,0.9208819270133972,0.11381062663250055
8,1,design,0.5928552150726318,0.8788748979568481,0.39369235193333335
8,2,confirmation,0.5778957009315491,0.8154069781303406,0.3442939440971174
8,3,confirmation,0.8236131072044373,0.8949558734893799,0.08307352414158352
9,0,design,0.770846426486969,0.8697686791419983,0.12073812396394869
9,1,design,0.5671718120574951,0.8317463994026184,0.3828653086189986
9,2,confirmation,0.5464746356010437,0.7986595630645752,0.3794468821025892
9,3,confirmation,0.7783194184303284,0.8438258767127991,0.08080916264400217
10,0,design,0.7683970332145691,0.8621264100074768,0.11509533735646571
10,1,design,0.5676193237304688,0.8220584392547607,0.3703604971793105
10,2,confirmation,0.5364243388175964,0.7932979464530945,0.3912733469328948
10,3,confirmation,0.7584809064865112,0.8235069513320923,0.08225436504212437
11,0,design,0.7766721248626709,0.8440525531768799,0.08319647386759234
11,1,design,0.5468893647193909,0.807482898235321,0.3896753525342244
11,2,confirmation,0.5213337540626526,0.7753206491470337,0.39688624515872134
11,3,confirmation,0.730215847492218,0.8119823336601257,0.10613841141533313
12,0,design,0.7637794017791748,0.828203022480011,0.08097931421543314
12,1,design,0.5406222343444824,0.7855300903320312,0.3736380021859479
12,2,confirmation,0.5177822709083557,0.7728472352027893,0.40052657572142253
12,3,confirmation,0.672798216342926,0.793469250202179,0.1649693295477343
13,0,design,0.7590044736862183,0.811531126499176,0.0669150714017945
13,1,design,0.5277486443519592,0.7771480083465576,0.3870107011661753
13,2,confirmation,0.5284050107002258,0.7772922515869141,0.38595335243583195
13,3,confirmation,0.6638982892036438,0.7742504477500916,0.15376643832167392
14,0,design,0.7731618285179138,0.7988134622573853,0.03263907657237282
14,1,design,0.5350139141082764,0.7830563187599182,0.3809118660638012
14,2,confirmation,0.5295850038528442,0.7819054126739502,0.3896400893356136
14,3,confirmation,0.6671039462089539,0.7628493309020996,0.1341146672896381
15,0,design,0.7696990966796875,0.7899050712585449,0.025913120337979576
15,1,design,0.5437321662902832,0.7875962257385254,0.3705287704110513
15,2,confirmation,0.5187476873397827,0.7703226208686829,0.3953918018430625
15,3,confirmation,0.6558195352554321,0.7577855587005615,0.14451478912697788
