site,layer,role,gini,hhi,maximum_energy_share,effective_units_inverse_hhi
attention,1,coarse,0.8450799571485426,0.2544415611721405,0.4538918573349487,3.930175539692816
attention,1,fine,0.7826698656028783,0.18382064804573917,0.36126763616570684,5.44008527133021
attention,2,coarse,0.45795665004229913,0.06685264419317827,0.18618940614692953,14.958271465080529
attention,2,fine,0.4850224695755543,0.06138880183229742,0.1254958844619423,16.289615860752757
attention,3,coarse,0.7208685994453514,0.32622396968029255,0.5593050951496173,3.0653786752090117
attention,3,fine,0.430199941336741,0.056874830624698995,0.1275672324512067,17.582469943492555
attention,4,coarse,0.8269837488867611,0.3170077401566982,0.5342256315479449,3.15449710945763
attention,4,fine,0.7065726925317777,0.16331524320923116,0.3464488049643666,6.123127151816754
attention,5,coarse,0.6062755834731566,0.0981809243566653,0.24795491291549768,10.185277909660586
attention,5,fine,0.6073988439833102,0.07754881847351722,0.15168057057924247,12.895102977506978
attention,6,coarse,0.6427659956493643,0.10226075541230739,0.20412841811771618,9.778922480751076
attention,6,fine,0.658294129476459,0.09702560163551066,0.17178483035225064,10.30655809542548
attention,7,coarse,0.4792650983050024,0.06251749026121355,0.11636563017727206,15.99552374578302
attention,7,fine,0.5155716620315225,0.06709669932796627,0.14271601604160097,14.903862783354448
attention,8,coarse,0.6173638183760659,0.07831171483591637,0.13716363813473068,12.769481578781194
attention,8,fine,0.6277281538587334,0.08157238186789711,0.1612103040295064,12.259051128597127
attention,9,coarse,0.6457802299867113,0.09543447769889246,0.2246669530843275,10.478393386875583
attention,9,fine,0.6360055159566118,0.08531659532455894,0.17091272122946397,11.721049066665502
attention,10,coarse,0.7614674939687334,0.1515987344289532,0.26443121251080876,6.596361135644245
attention,10,fine,0.6800106244324184,0.09318919259488125,0.17413701786386881,10.73085807650756
attention,11,coarse,0.5802427534223105,0.07942987268840755,0.16692800059430113,12.589721803065986
attention,11,fine,0.5340303733311504,0.06479437829007996,0.12350388885209371,15.433437689965462
attention,12,coarse,0.5313063037563461,0.06614235344937537,0.1407774562190604,15.118905630798109
attention,12,fine,0.5979968473719155,0.1073994310783043,0.2691703979143055,9.311036287249099
attention,13,coarse,0.47728158018907085,0.05904814507068592,0.13930029010448294,16.93533300331298
attention,13,fine,0.44851763956971546,0.05269409424191733,0.11120937676209551,18.977458752949122
attention,14,coarse,0.6335661736927098,0.0969430389561997,0.2125368590190535,10.315335796846794
attention,14,fine,0.6318133706699207,0.094472261325826,0.20428318356216965,10.585117641580457
attention,15,coarse,0.38906331880242107,0.04935537277976295,0.10290040125319572,20.26121866128478
attention,15,fine,0.4124008993215893,0.05243782654396019,0.1260244305695668,19.07020305583547
attention,16,coarse,0.48619455179131155,0.05710838706937708,0.10656231998487596,17.510562831781055
attention,16,fine,0.49023336072349744,0.05718392971599777,0.11030243289166716,17.48743055901316
attention,17,coarse,0.5180752658941654,0.07702392249944656,0.1712518977141462,12.982979411457334
attention,17,fine,0.43355791587880144,0.060876877129973486,0.15690183031594607,16.426598195320988
attention,18,coarse,0.5196976534341682,0.07071546079420801,0.17232009192939365,14.141179153313324
attention,18,fine,0.48621817158199354,0.06082691523528479,0.12298098324913657,16.440090642964496
attention,19,coarse,0.37247407024256973,0.046743202271498904,0.10845015757047362,21.393485071726413
attention,19,fine,0.3565683502879722,0.046594585557093254,0.10493669039394336,21.46172110007676
attention,20,coarse,0.4535892428111936,0.05295209948554674,0.08771675278949088,18.884992468956774
attention,20,fine,0.4532400956652005,0.054404772360314206,0.09710729197674865,18.380740450068572
attention,21,coarse,0.6016746987495463,0.09318622928104832,0.23383998366535227,10.73119931684342
attention,21,fine,0.5242176016961149,0.06230171774279157,0.1331552710177117,16.050921808102185
attention,22,coarse,0.41466727390824243,0.05088251810914743,0.10399660461889967,19.653115395250545
attention,22,fine,0.35667059215030883,0.043346373783406486,0.06757769432017136,23.069980547780265
attention,23,coarse,0.6038722702229378,0.09533245980573891,0.24275778563110567,10.489606604484164
attention,23,fine,0.5658220561601899,0.07135526943824537,0.16939868716698098,14.014381949260986
attention,24,coarse,0.550435219891257,0.07209293633794032,0.16692692746860877,13.870984465280134
attention,24,fine,0.6836040132868948,0.21209529460309795,0.43924856232547066,4.714861788288789
attention,25,coarse,0.7159924240611057,0.16045466925178511,0.27167930851490385,6.232289809097435
attention,25,fine,0.8253556516074088,0.24705875490861512,0.3928674451952992,4.047620171848965
attention,26,coarse,0.6043830582162275,0.07494180377733325,0.1290573931101007,13.343687362679386
attention,26,fine,0.6829137795155773,0.10323570947075428,0.21811081374141209,9.686570714015296
attention,27,coarse,0.6160382050810242,0.09142227250089963,0.22363853685549157,10.938253585745855
attention,27,fine,0.715521983086854,0.16585022874140723,0.36496841850580086,6.0295364533937095
attention,28,coarse,0.8010328801023114,0.2346251882276677,0.43741425442119986,4.26211698562242
attention,28,fine,0.8919904874812341,0.3795303048769155,0.5626861268336157,2.634835709165062
attention,29,coarse,0.6213805864563815,0.07992915299171824,0.152159801502808,12.511079657050962
attention,29,fine,0.7269776797566116,0.1372003256252689,0.2745837754491225,7.2886124390934
attention,30,coarse,0.720942771990017,0.14583007167934126,0.3215297227396751,6.857296224875017
attention,30,fine,0.8484763196002869,0.2496366163377147,0.41861705158854884,4.005822601950248
attention,31,coarse,0.8396639355623601,0.412617949928429,0.6314907307356182,2.4235494364058954
attention,31,fine,0.8900258639720879,0.628131054147559,0.7899737629796857,1.5920244563566546
attention,32,coarse,0.597921215143546,0.07359379626732493,0.12584050314240622,13.588101860754154
attention,32,fine,0.6114766788026433,0.08124291977073256,0.16092566296695748,12.308764909262235
attention,33,coarse,0.6267684189888072,0.08594216564916365,0.15808752643549798,11.635731918628135
attention,33,fine,0.646358865394491,0.09331127058781144,0.1600506722290297,10.716819026260506
attention,34,coarse,0.5579438721745573,0.07639499900354899,0.1465033141464994,13.089862072693322
attention,34,fine,0.48217147667583204,0.07043371716611879,0.19755790590727237,14.197745628581375
attention,35,coarse,0.6637763624377171,0.09169277830041904,0.1471979599092851,10.90598429380812
attention,35,fine,0.7171891127860428,0.11733710374737968,0.2020195983341331,8.522453410414364
attention,36,coarse,0.7172457099497631,0.12221019899673036,0.24458730930292955,8.182623121551044
attention,36,fine,0.7615698093457914,0.15044906803804065,0.29220011482060365,6.646767660582335
mlp,1,coarse,0.15051636133126944,0.03416332876584055,0.06194950933567013,29.27115231815134
mlp,1,fine,0.2556853516546178,0.04167196382712444,0.1085395013189348,23.996949223427197
mlp,2,coarse,0.3814890755736735,0.05274135641099581,0.1049886295934698,18.960452822019466
mlp,2,fine,0.320014794214333,0.048343310322061295,0.11562461606060485,20.68538528574146
mlp,3,coarse,0.2619980631241767,0.04064280111966932,0.07891778602936088,24.60460333567029
mlp,3,fine,0.24508532072326727,0.04311471918354083,0.12186782127686303,23.193935132523208
mlp,4,coarse,0.29552870230714134,0.045276850687579265,0.11752592299327207,22.08634180191178
mlp,4,fine,0.37808876898784605,0.07223148312264008,0.21770831362993334,13.84437861122309
mlp,5,coarse,0.2650537875298673,0.04160579437806156,0.10632561764506089,24.035113737121502
mlp,5,fine,0.3323038002008596,0.0455078599431757,0.09481487600745427,21.974226018289368
mlp,6,coarse,0.15515835317705395,0.0350242791633444,0.07461059059084468,28.55162258547142
mlp,6,fine,0.16395555701508036,0.03453877919715918,0.05521148136174191,28.952963111164337
mlp,7,coarse,0.11316610138477001,0.03470912620347751,0.08558914215113021,28.810866460239783
mlp,7,fine,0.12278127455653842,0.040295103503640586,0.12431723185530191,24.816911064880422
mlp,8,coarse,0.14646433291406824,0.04018764373698473,0.1225331788008822,24.883270254525993
mlp,8,fine,0.08491332395216178,0.03492971594207307,0.09035890460054243,28.62891875955663
mlp,9,coarse,0.060842886031542864,0.031635977793121425,0.03925153476269503,31.609580918893833
mlp,9,fine,0.036026318926512424,0.03138734864426694,0.03582645525597668,31.859970440117284
mlp,10,coarse,0.07154074091373186,0.031742553422874555,0.03903223818679606,31.503451744350617
mlp,10,fine,0.03418979630141017,0.03136459308551882,0.03476248190117684,31.883085403767115
mlp,11,coarse,0.05034098321111968,0.031516980767104824,0.039159106567356786,31.72892757049015
mlp,11,fine,0.03455961173649591,0.03137221894153869,0.035349244025513184,31.87533536800422
mlp,12,coarse,0.05768706025434711,0.031580868165011586,0.03670987829629294,31.664740651680344
mlp,12,fine,0.031208438264610283,0.03134193989323182,0.03403507671427724,31.906129722874823
mlp,13,coarse,0.06622128415546258,0.031678057155341374,0.0400470204797844,31.567592516682662
mlp,13,fine,0.03065892681092186,0.031341427090563916,0.03459535907933873,31.90665176510338
mlp,14,coarse,0.06157968569761829,0.031613000694044525,0.037857746869457504,31.63255553239484
mlp,14,fine,0.03109005973439083,0.031345467944641846,0.03499820274731173,31.90253856685329
mlp,15,coarse,0.0580503010921789,0.03158439658379668,0.03820587315526776,31.66120325733931
mlp,15,fine,0.031222108108474922,0.0313470524361698,0.03526018926372937,31.900925997308438
mlp,16,coarse,0.0541351725359307,0.031536219311364966,0.03602591305773221,31.709571465328498
mlp,16,fine,0.028396134330718414,0.03132797027679954,0.03381808576607068,31.920357149360775
mlp,17,coarse,0.047877299860653366,0.031491767117878836,0.03868450353836592,31.754331100469415
mlp,17,fine,0.027186090638508853,0.03132395112981858,0.03492417479681603,31.92445282064235
mlp,18,coarse,0.062117494450764754,0.031624128618037144,0.039004894136285266,31.62142464313277
