site,layer,unit,band_index,band,metric,log_discriminability,basis_stability_pass,audit_scope
attention,1,25,1,F1,coarse,-2.727017274065507,True,global_design_selected_unit
attention,1,25,1,F1,fine,-1.2956788918887279,True,global_design_selected_unit
attention,1,25,1,F1,fine_relative,1.4313383821767796,True,global_design_selected_unit
attention,1,25,2,F2,coarse,-2.70458333310535,True,global_design_selected_unit
attention,1,25,2,F2,fine,-0.9347982534597842,True,global_design_selected_unit
attention,1,25,2,F2,fine_relative,1.7697850796455656,True,global_design_selected_unit
attention,1,25,3,F3,coarse,-2.357061987085862,True,global_design_selected_unit
attention,1,25,3,F3,fine,-0.9815191909790109,True,global_design_selected_unit
attention,1,25,3,F3,fine_relative,1.375542796106851,True,global_design_selected_unit
attention,1,25,4,F4,coarse,-2.558416735557181,True,global_design_selected_unit
attention,1,25,4,F4,fine,-1.125236481314441,True,global_design_selected_unit
attention,1,25,4,F4,fine_relative,1.4331802542427403,True,global_design_selected_unit
attention,1,25,5,F5,coarse,-3.0774675063854207,True,global_design_selected_unit
attention,1,25,5,F5,fine,-1.1717061214904338,True,global_design_selected_unit
attention,1,25,5,F5,fine_relative,1.9057613848949868,True,global_design_selected_unit
attention,1,25,6,F6,coarse,-3.162915482850975,True,global_design_selected_unit
attention,1,25,6,F6,fine,-1.1045902933181035,True,global_design_selected_unit
attention,1,25,6,F6,fine_relative,2.0583251895328716,True,global_design_selected_unit
attention,1,25,7,F7,coarse,-3.3141370541673996,True,global_design_selected_unit
attention,1,25,7,F7,fine,-1.4133891354638957,True,global_design_selected_unit
attention,1,25,7,F7,fine_relative,1.9007479187035037,True,global_design_selected_unit
attention,1,25,8,F8,coarse,-3.2880189539074354,True,global_design_selected_unit
attention,1,25,8,F8,fine,-1.2683874930732277,True,global_design_selected_unit
attention,1,25,8,F8,fine_relative,2.0196314608342076,True,global_design_selected_unit
attention,2,25,1,F1,coarse,-0.3525213050623833,True,global_design_selected_unit
attention,2,25,1,F1,fine,-0.8073858680089802,True,global_design_selected_unit
attention,2,25,1,F1,fine_relative,-0.45486456294659694,True,global_design_selected_unit
attention,2,25,2,F2,coarse,-0.3101175542820954,True,global_design_selected_unit
attention,2,25,2,F2,fine,-0.9577937638207833,True,global_design_selected_unit
attention,2,25,2,F2,fine_relative,-0.6476762095386879,True,global_design_selected_unit
attention,2,25,3,F3,coarse,-1.2821525527131348,False,global_design_selected_unit
attention,2,25,3,F3,fine,-0.8350211586741431,False,global_design_selected_unit
attention,2,25,3,F3,fine_relative,0.4471313940389917,False,global_design_selected_unit
attention,2,25,4,F4,coarse,-1.1096583285287982,False,global_design_selected_unit
attention,2,25,4,F4,fine,-1.011151627098998,False,global_design_selected_unit
attention,2,25,4,F4,fine_relative,0.09850670142980018,False,global_design_selected_unit
attention,2,25,5,F5,coarse,-0.39980808800638434,False,global_design_selected_unit
attention,2,25,5,F5,fine,-1.0285200425581331,False,global_design_selected_unit
attention,2,25,5,F5,fine_relative,-0.6287119545517487,False,global_design_selected_unit
attention,2,25,6,F6,coarse,-1.2798040226159577,False,global_design_selected_unit
attention,2,25,6,F6,fine,-1.007161033148123,False,global_design_selected_unit
attention,2,25,6,F6,fine_relative,0.2726429894678345,False,global_design_selected_unit
attention,2,25,7,F7,coarse,-1.0510521747340882,False,global_design_selected_unit
attention,2,25,7,F7,fine,-0.9288436987780259,False,global_design_selected_unit
attention,2,25,7,F7,fine_relative,0.12220847595606228,False,global_design_selected_unit
