layer,write raw (native),write gain (native),write gain (RMSNorm-folded),MLP-input increment raw,MLP-input increment gain (primary),nonlinear MLP H/M/T response
1,0.05999845855994998,0.03164419934271139,0.026385917941987157,0.051185717410773574,0.02630972767282877,0.04725089344450438
2,0.022068715472902678,-1.683728074311497e-05,-0.00017045312457061867,-0.033848133440790684,-0.0070116397012661424,0.013436386023758212
3,0.0016528260244400572,0.005936324829500947,0.006549634920935507,-0.0016711735754675883,-0.002596211070006099,0.015579992714688531
4,0.0324435615808098,0.012049298212629997,0.011475260356890525,-0.007293350576698887,0.005765100767472442,-0.00152931902256781
5,-0.009649459120290027,-0.009287204786619069,-0.011976032134474263,-0.020040412496104554,-0.01611119723678335,-0.016169121950451504
6,0.018400499505874968,0.008068383245486394,0.009191544453711495,0.024617993365586455,0.014458614151364846,0.014915379185153482
7,0.008051122280627765,-0.008992031289102462,-0.010072178971630083,-0.01629852627127465,-0.010876700922939964,0.01072338982413712
8,0.016053683373952354,0.012281263988991237,0.012248435372780447,0.011614899183985894,0.009517813812229853,0.007245015174096425
9,0.019171337001702093,0.010073416162646065,0.009684916489201945,0.015104625132767169,0.010701652593252065,0.0007692175366651455
10,0.02478533881200562,0.012791286285958783,0.01276844695581622,0.02255413829343106,0.01566848192082143,0.014328231777481437
11,-0.014523759862895391,-0.004775758784520079,-0.008230932387967183,-0.017119134211971754,-0.01012018426403491,-0.003593749120915285
12,0.018202377236203993,0.0015223976905139325,-0.003299830745895682,0.013500645044744242,0.0017512778882843028,0.0006864126154790262
13,0.010963851001289937,0.021829105410538868,0.018118114837246457,0.009439507665798819,0.016097898724669713,0.012963750366560833
14,0.015612787160892538,0.01091057922103969,0.009222527728605379,0.013457214470433854,0.011422412859466047,0.009452826488267063
15,-0.0009332145086387023,-0.002777207132201115,-0.006169416540980799,-0.0028422438269717354,-0.004425778659506052,0.0016034874384338038
16,0.009862700344607456,0.012869606879727075,0.009223667229094679,0.010256853488599449,0.011806119115134323,0.004526123497231055
17,0.010366911922683186,0.0012394187271742019,-0.0013532693693565634,-0.0033462373892039765,-0.001539474375221589,-0.003619131980936885
18,0.015900046688731462,0.003433577987298375,0.0071728528369268685,0.01102764266791606,0.006757280610456967,0.0016811430222715973
19,-0.003160534203042298,0.0036619626451726284,-0.00048297416101786284,0.0011995333323456814,-0.0011659455041520828,0.0002682892666950598
20,-0.0004001629976667642,-0.0009030529631817164,-0.0017316216308903565,-0.0021811384334533,-0.0057427063895191255,0.004175310628775297
21,-0.0037082024467841035,-0.01062086474654797,-0.011731418914662006,-0.006198025617585978,-0.011154673445153335,-0.014625793790966124
22,-0.009341540826691197,-0.016881819674265164,-0.016098626085583462,-0.011046594623901562,-0.016236648574371182,-0.008836965611697417
23,0.005560139898545369,-0.006670739055664676,-0.009486095888765339,-0.0011127898101689904,-0.007923725700426043,0.001807977871828681
24,0.010070605885188988,0.006770862679466194,0.004794586214116159,0.009445424271186387,0.009619954799437613,0.0053046569858401504
25,0.060910087887805275,0.05754811613514907,0.059601980626748485,0.04960333022924912,0.05669613009246219,0.04498291067376825
26,0.013583828764477501,0.015341604303325762,0.01537608428842585,0.013771923914374318,0.014568107962767363,0.014128132566929963
27,0.00603971176039475,0.024607922924905434,0.03024556987244109,0.00019342800376770386,0.013702223572862104,0.030023319364183898
28,0.01499758061259393,0.020710971465250055,0.020935497223596167,0.006468927612440445,0.01314374638133664,0.0027519962814257504
29,-0.009076306749551954,-0.0010613365927498175,0.003373683402887573,-0.008852750880056381,-0.003066613886310521,-0.00624143385454512
30,-0.004815549759818072,0.003276189141629665,0.008610342750086653,-0.006242791761034261,-0.002998711044441549,0.02697715551713048
31,0.0386914140844567,0.03679512259569245,0.04115423332282869,0.026716859796938774,0.030781548725525465,-0.00042746879212207656
32,-0.01399246175188984,-0.006622679217676453,-0.006294343787909551,0.011569958513126588,0.02005678421174889,0.006770099491397619
33,0.007587161899016204,0.0386837357860072,0.04035045395119263,0.015221341168507263,0.04372928529044218,0.012335109394322363
34,-0.0034387686653618577,0.004206763868359276,0.005542507175901101,0.031833149942985806,0.041372913768973674,0.03373457994632045
35,0.018354392637774497,0.033793417602742404,0.05258841124815472,0.020165176033138832,0.03355309849330884,0.01865314430763068
36,0.001286598865757993,-0.01220447252698198,-0.009243841860427204,-0.009488279882664541,-0.022357882222192926,6.371025974971634e-05
