operator,width,band,mean_overlap,null_overlap,null_normalized_mean
native,128,head,0.11718258124775036,0.03125,3.7498425999280114
native,128,middle,0.03252762688273527,0.03125,1.0408840602475287
native,128,tail,0.23245344954114286,0.03125,7.4385103853165715
native,256,head,0.13744408271758765,0.0625,2.1991053234814024
native,256,middle,0.06508929340807883,0.0625,1.0414286945292612
native,256,tail,0.20392093998550495,0.0625,3.262735039768079
native,512,head,0.18215242580116398,0.125,1.4572194064093118
native,512,middle,0.1300943266990907,0.125,1.0407546135927257
native,512,tail,0.2196062149663877,0.125,1.7568497197311015
folded,128,head,0.09896095727258719,0.03125,3.16675063272279
folded,128,middle,0.03520831795757392,0.03125,1.1266661746423654
folded,128,tail,0.40902931897282,0.03125,13.08893820713024
folded,256,head,0.12794508726927328,0.0625,2.0471213963083725
folded,256,middle,0.07041177067309769,0.0625,1.126588330769563
folded,256,tail,0.439764195317617,0.0625,7.036227125081872
folded,512,head,0.19080824147490869,0.125,1.5264659317992695
folded,512,middle,0.1406170360193576,0.125,1.1249362881548608
folded,512,tail,0.42851466884709993,0.125,3.4281173507767995
