layer,metric,role,band_index,band,estimate,ci_low,ci_high,bootstrap_sign_p
1,b,coarse,1,F1,2.9564091164502315e-05,2.137091455378372e-05,4.764030100473476e-05,
1,b,coarse,2,F2,6.725034836563282e-06,4.847195567782881e-06,8.776808761096544e-06,
1,b,coarse,3,F3,3.869638931064401e-06,2.7668224554244954e-06,4.367020711424471e-06,
1,b,coarse,4,F4,2.938682428066386e-06,2.0172737600110854e-06,3.151394643082612e-06,
1,b,coarse,5,F5,2.332151098016766e-06,1.5126154860836104e-06,2.4032736925349278e-06,
1,b,coarse,6,F6,1.605309307706193e-06,9.991986654990263e-07,1.6128126387874498e-06,
1,b,coarse,7,F7,8.686652108735871e-07,5.164497719557537e-07,8.011212069377805e-07,
1,b,coarse,8,F8,5.42660473001888e-07,3.253248029067169e-07,5.118320550382943e-07,
1,b,coarse,9,F9,2.874479037018318e-07,1.609364631266997e-07,2.5354207842941945e-07,
1,b,coarse,10,F10,1.783639334007603e-07,1.0194332810976836e-07,1.5688906922767294e-07,
1,b,coarse,11,F11,9.370492648486106e-08,5.030463566525577e-08,7.684027846531413e-08,
1,b,coarse,12,F12,5.383198242725484e-08,2.8458761126049504e-08,4.339873934650293e-08,
1,b,coarse,13,F13,3.0725988864332976e-08,1.635546621958203e-08,2.5014490829684265e-08,
1,b,coarse,14,F14,1.5001514697132734e-08,8.04001734682933e-09,1.2026084534102997e-08,
1,b,coarse,15,F15,5.096677746507794e-09,2.6655036945088284e-09,3.946402185993678e-09,
1,b,coarse,16,F16,8.30815027885734e-10,4.0061624721484617e-10,5.982228928378503e-10,
1,b,fine,1,F1,2.003579902520869e-05,1.3548744067970721e-05,1.931735397364487e-05,
1,b,fine,2,F2,7.918739356682636e-06,5.171108937687192e-06,6.9707228638099935e-06,
1,b,fine,3,F3,6.036907507223077e-06,3.813660447096694e-06,5.036042168201143e-06,
1,b,fine,4,F4,5.361394869396463e-06,3.3943177097809297e-06,4.406783809118482e-06,
1,b,fine,5,F5,4.552039627014892e-06,2.596268383961565e-06,3.4829373945728484e-06,
1,b,fine,6,F6,3.37611118084169e-06,1.836377335363323e-06,2.4743836936048853e-06,
1,b,fine,7,F7,2.1466798898472916e-06,1.161811931388169e-06,1.53862702705422e-06,
1,b,fine,8,F8,1.3478597793437075e-06,7.609080700787268e-07,9.96610607151993e-07,
1,b,fine,9,F9,8.435018230557034e-07,4.7669293580703994e-07,6.258703486669347e-07,
1,b,fine,10,F10,5.436244236989296e-07,3.331700137395753e-07,4.2276189001392796e-07,
1,b,fine,11,F11,3.3872646554300445e-07,2.1135135370072556e-07,2.6681104512320917e-07,
1,b,fine,12,F12,2.112800672193771e-07,1.3828812353849563e-07,1.7287746711324057e-07,
1,b,fine,13,F13,1.2110851344004914e-07,8.091579979125266e-08,1.0075486364049178e-07,
1,b,fine,14,F14,5.948793813104203e-08,4.0493907101921084e-08,4.980178322262857e-08,
1,b,fine,15,F15,2.2004293498412153e-08,1.506137791833691e-08,1.834250134649477e-08,
1,b,fine,16,F16,3.924467861793346e-09,2.519198826714957e-09,3.063532520969005e-09,
1,b,fine_vs_coarse_log_ratio,1,F1,-0.38903986378935534,-1.126085184663959,-0.20566449060887937,0.5707146426786607
1,b,fine_vs_coarse_log_ratio,2,F2,0.1633949153884801,-0.43341672706124024,0.26718636234264326,0.01699150424787606
1,b,fine_vs_coarse_log_ratio,3,F3,0.44473067549103745,-0.044146490609597855,0.5051807753044698,0.0009995002498750624
1,b,fine_vs_coarse_log_ratio,4,F4,0.601262850873896,0.1697355770418052,0.6907255053613564,0.0009995002498750624
1,b,fine_vs_coarse_log_ratio,5,F5,0.6687843424867252,0.1606579748311452,0.7301441659215168,0.0009995002498750624
1,b,fine_vs_coarse_log_ratio,6,F6,0.743408055808658,0.2368127865762586,0.8004847188998911,0.0009995002498750624
1,b,fine_vs_coarse_log_ratio,7,F7,0.9047198971565904,0.4622490830352135,0.9954429114891565,0.0009995002498750624
1,b,fine_vs_coarse_log_ratio,8,F8,0.9097894203612302,0.4987777545181926,1.0236932449520952,0.0009995002498750624
1,b,fine_vs_coarse_log_ratio,9,F9,1.0765204239801678,0.745627514772184,1.2414319175062174,0.0009995002498750624
1,b,fine_vs_coarse_log_ratio,10,F10,1.114432578138198,0.8502219179842339,1.312490199329124,0.0009995002498750624
1,b,fine_vs_coarse_log_ratio,11,F11,1.285042130293382,1.099992078957937,1.56887400249948,0.0009995002498750624
1,b,fine_vs_coarse_log_ratio,12,F12,1.3673168266927034,1.2480136362757448,1.6978007548785201,0.0009995002498750624
1,b,fine_vs_coarse_log_ratio,13,F13,1.371578109706773,1.2720265054692945,1.7284922567922545,0.0009995002498750624
1,b,fine_vs_coarse_log_ratio,14,F14,1.377622395701379,1.2892399602051867,1.7347128758338723,0.0009995002498750624
1,b,fine_vs_coarse_log_ratio,15,F15,1.4626486881267649,1.4232646278046832,1.849634400273228,0.0009995002498750624
1,b,fine_vs_coarse_log_ratio,16,F16,1.5525788641218714,1.5172841017823517,1.9625869870229906,0.0009995002498750624
1,q,coarse,1,F1,0.0048843801161154235,0.003469820089544854,0.00778611382441861,
1,q,coarse,2,F2,0.003934947235462983,0.0028339373420847836,0.005067532370656477,
1,q,coarse,3,F3,0.0039808075792603795,0.0028446545166782564,0.004504591882224076,
1,q,coarse,4,F4,0.00480207114461981,0.003299034889179724,0.005149684731332356,
1,q,coarse,5,F5,0.006297451169515123,0.004037279022395476,0.006453055929784984,
1,q,coarse,6,F6,0.007886335007542367,0.004888569029231309,0.007897843224632477,
1,q,coarse,7,F7,0.008030644517635114,0.004766717235169574,0.007421814659593011,
1,q,coarse,8,F8,0.009463618308917746,0.0056640669038548926,0.008935598227755163,
1,q,coarse,9,F9,0.009189655960249125,0.005142515454056867,0.00810140360163881,
1,q,coarse,10,F10,0.010427617615053515,0.005967920988053086,0.009183353665721601,
1,q,coarse,11,F11,0.010114319660718261,0.0054382903671536635,0.008294938524986108,
1,q,coarse,12,F12,0.010759496149067085,0.005675963631099945,0.008644970848536342,
1,q,coarse,13,F13,0.012356524591453448,0.006540792131004904,0.010037494443266492,
1,q,coarse,14,F14,0.012439895465028218,0.006709008791464717,0.010029402273703301,
1,q,coarse,15,F15,0.0047830368978393975,0.0025014729299899694,0.0037035473084106817,
1,q,coarse,16,F16,0.000779688072354243,0.0003759630120378019,0.0005614093456472635,
1,q,fine,1,F1,0.003383200782837034,0.0022433880392914445,0.0031606577988086684,
1,q,fine,2,F2,0.004771088907198564,0.0031061845233907796,0.004183559091960872,
1,q,fine,3,F3,0.006232963902535006,0.003929139844278394,0.0052021464574700796,
1,q,fine,4,F4,0.008793371618956946,0.005565233434936014,0.007237868821962338,
1,q,fine,5,F5,0.012367538946362932,0.006989626273826207,0.00941515465419153,
1,q,fine,6,F6,0.016688525956598636,0.009057868825346335,0.012185454693829534,
1,q,fine,7,F7,0.019988879514077018,0.010861272873478779,0.014375402764839436,
1,q,fine,8,F8,0.02355636860757681,0.0133167998729606,0.017458574660949834,
1,q,fine,9,F9,0.02721622204545887,0.015497057160451485,0.020310799370614672,
1,q,fine,10,F10,0.03195591031645887,0.019646299956478902,0.024919805403832037,
1,q,fine,11,F11,0.0366099819692009,0.022926448353022304,0.028902466466550956,
1,q,fine,12,F12,0.042732928443342866,0.028168811680937225,0.03511199940664214,
1,q,fine,13,F13,0.04918055891700882,0.032839950881265,0.040882330774065105,
1,q,fine,14,F14,0.04901898582886239,0.0332670355555664,0.0409486156276485,
1,q,fine,15,F15,0.020650188289309715,0.014134527542498799,0.017213740196637514,
1,q,fine,16,F16,0.003682962855983605,0.0023641717298590625,0.002875008319415582,
1,q,fine_vs_coarse_log_ratio,1,F1,-0.36722014350677407,-1.113232304831186,-0.18692571958012627,0.6916541729135433
1,q,fine_vs_coarse_log_ratio,2,F2,0.19267708853088872,-0.39092819303100734,0.2932882658866154,0.005997001499250375
1,q,fine_vs_coarse_log_ratio,3,F3,0.4483672583881507,-0.043014640802649495,0.5105530525496558,0.0009995002498750624
1,q,fine_vs_coarse_log_ratio,4,F4,0.604950899237136,0.17808448042780367,0.6963304250576733,0.0009995002498750624
1,q,fine_vs_coarse_log_ratio,5,F5,0.6749302379371628,0.16433298810063812,0.7352287803571393,0.0009995002498750624
1,q,fine_vs_coarse_log_ratio,6,F6,0.7495898989613831,0.23832951488445686,0.8013211634542842,0.0009995002498750624
1,q,fine_vs_coarse_log_ratio,7,F7,0.9119113061658415,0.4695426583484288,1.0079518287707585,0.0009995002498750624
1,q,fine_vs_coarse_log_ratio,8,F8,0.9119414180780548,0.5033884043229324,1.026953664815041,0.0009995002498750624
1,q,fine_vs_coarse_log_ratio,9,F9,1.0857346949069187,0.7639726815033716,1.253146590186026,0.0009995002498750624
1,q,fine_vs_coarse_log_ratio,10,F10,1.1198993238062989,0.8610258260281927,1.3208994038852795,0.0009995002498750624
1,q,fine_vs_coarse_log_ratio,11,F11,1.2863687266973727,1.1052234662295717,1.5736861763318644,0.0009995002498750624
1,q,fine_vs_coarse_log_ratio,12,F12,1.379181053626432,1.2745745529225119,1.7175349877250587,0.0009995002498750624
1,q,fine_vs_coarse_log_ratio,13,F13,1.3813141708758252,1.2879610480798949,1.7409740762042325,0.0009995002498750624
1,q,fine_vs_coarse_log_ratio,14,F14,1.3712990048173048,1.2828726269564268,1.722556839181816,0.0009995002498750624
1,q,fine_vs_coarse_log_ratio,15,F15,1.4626487584518388,1.423264816091563,1.8496344878136004,0.0009995002498750624
1,q,fine_vs_coarse_log_ratio,16,F16,1.5525788986719098,1.5172841880868657,1.9625868393199613,0.0009995002498750624
1,j,coarse,1,F1,0.6060362458229065,0.3979300628609004,0.9337268217153162,
1,j,coarse,2,F2,0.3057633340358734,0.20326917567206082,0.3786976964535083,
1,j,coarse,3,F3,0.212745800614357,0.14101214529371597,0.2282114721856836,
1,j,coarse,4,F4,0.18015272915363312,0.11468192716559827,0.18421974013919784,
1,j,coarse,5,F5,0.1419144719839096,0.0853625781468055,0.14026576031091234,
1,j,coarse,6,F6,0.12236383557319641,0.0705947998965663,0.11808531413788532,
1,j,coarse,7,F7,0.10188648849725723,0.056116939370204635,0.08998417044529268,
