role,band,band_index,b,q,j,e,q_enrichment,j_enrichment,layer,split,floor_ratio
coarse,F1,1,2.9564091164502315e-05,0.0048843801161154235,0.6060362458229065,9.631715442701463,0.6505432733112337,3.9212221212904956,1,confirmation,1e-06
coarse,F2,2,6.725034836563282e-06,0.003934947235462983,0.3057633340358734,2.1909559650460597,0.5240897297118934,1.9783733358604412,1,confirmation,1e-06
coarse,F3,3,3.869638931064401e-06,0.0039808075792603795,0.212745800614357,1.260693617896953,0.5301978002264512,1.3765241688604335,1,confirmation,1e-06
coarse,F4,4,2.938682428066386e-06,0.00480207114461981,0.18015272915363312,0.9573963483642545,0.6395806646553328,1.1656379822775622,1,confirmation,1e-06
coarse,F5,5,2.332151098016766e-06,0.006297451169515123,0.1419144719839096,0.7597938871346798,0.8387480908410967,0.9182258828743033,1,confirmation,1e-06
coarse,F6,6,1.605309307706193e-06,0.007886335007542367,0.12236383557319641,0.5229953582307735,1.0503691498760388,0.791727858197743,1,confirmation,1e-06
coarse,F7,7,8.686652108735871e-07,0.008030644517635114,0.10188648849725723,0.28300332587780047,1.0695895174219494,0.6592337592177625,1,confirmation,1e-06
coarse,F8,8,5.42660473001888e-07,0.009463618308917746,0.10864377021789551,0.1767939095057229,1.2604451508061105,0.7029552408046931,1,confirmation,1e-06
coarse,F9,9,2.874479037018318e-07,0.009189655960249125,0.09165701270103455,0.09364794600489466,1.2239565158452712,0.5930462216606847,1,confirmation,1e-06
coarse,F10,10,1.783639334007603e-07,0.010427617615053515,0.09937432408332825,0.05810936795580667,1.3888387748023683,0.6429793606729342,1,confirmation,1e-06
coarse,F11,11,9.370492648486106e-08,0.010114319660718261,0.0860045775771141,0.030528223663615364,1.347111089427819,0.5564734031207965,1,confirmation,1e-06
coarse,F12,12,5.383198242725484e-08,0.010759496149067085,0.08565419912338257,0.01753797651247882,1.4330411797598739,0.5542063576213477,1,confirmation,1e-06
coarse,F13,13,3.0725988864332976e-08,0.012356524591453448,0.08915270864963531,0.010010251280519992,1.6457470064528703,0.576842681835356,1,confirmation,1e-06
coarse,F14,14,1.5001514697132734e-08,0.012439895465028218,0.09051518142223358,0.004887358788345783,1.6568510482564969,0.5856582574917493,1,confirmation,1e-06
coarse,F15,15,5.096677746507794e-09,0.0047830368978393975,0.08340825140476227,0.0016604518462740435,0.6370455218304145,0.5396744547224419,1,confirmation,1e-06
