layer,band,rank,split_half_overlap,random_expectation,normalized_excess,stability_pass,reconstruction_relative_error,trace_relative_error,orthogonality_relative_error
1,F1,256,0.8248137792234359,0.0625,0.8131346978383316,True,5.594177926589937e-15,0.0,5.706531755920112e-15
1,F2,256,0.5783211077932833,0.0625,0.5502091816461688,True,5.594177926589937e-15,0.0,5.706531755920112e-15
1,F3,256,0.4686269131537178,0.0625,0.433202040697299,True,5.594177926589937e-15,0.0,5.706531755920112e-15
1,F4,256,0.45754713951415893,0.0625,0.4213836154817695,True,5.594177926589937e-15,0.0,5.706531755920112e-15
1,F5,256,0.5071473165863041,0.0625,0.474290471025391,True,5.594177926589937e-15,0.0,5.706531755920112e-15
1,F6,256,0.5588188717184697,0.0625,0.529406796499701,True,5.594177926589937e-15,0.0,5.706531755920112e-15
1,F7,256,0.5728176526587723,0.0625,0.5443388295026904,True,5.594177926589937e-15,0.0,5.706531755920112e-15
1,F8,256,0.5726198395150759,0.0625,0.5441278288160809,True,5.594177926589937e-15,0.0,5.706531755920112e-15
1,F9,256,0.5687986567864235,0.0625,0.5400519005721851,True,5.594177926589937e-15,0.0,5.706531755920112e-15
1,F10,256,0.5710416734622996,0.0625,0.5424444516931196,True,5.594177926589937e-15,0.0,5.706531755920112e-15
1,F11,256,0.5837119476637701,0.0625,0.5559594108413548,True,5.594177926589937e-15,0.0,5.706531755920112e-15
1,F12,256,0.6153381834707989,0.0625,0.5896940623688522,True,5.594177926589937e-15,0.0,5.706531755920112e-15
1,F13,256,0.6670522056168202,0.0625,0.6448556859912749,True,5.594177926589937e-15,0.0,5.706531755920112e-15
1,F14,256,0.7464028919943854,0.0625,0.7294964181273443,True,5.594177926589937e-15,0.0,5.706531755920112e-15
1,F15,256,0.8533380161258268,0.0625,0.8435605505342153,True,5.594177926589937e-15,0.0,5.706531755920112e-15
1,F16,256,0.9575103662065753,0.0625,0.9546777239536802,True,5.594177926589937e-15,0.0,5.706531755920112e-15
1,H,256,0.8248137792234359,0.0625,0.8131346978383316,True,5.594177926589937e-15,0.0,5.706531755920112e-15
1,M,1792,0.9311148622606028,0.4375,0.8775375329077383,True,5.594177926589937e-15,0.0,5.706531755920112e-15
1,T,2048,0.9613552342316878,0.5,0.9227104684633756,True,5.594177926589937e-15,0.0,5.706531755920112e-15
2,F1,256,0.8639411708199087,0.0625,0.8548705822079027,True,3.840593884737271e-15,1.9644012241153844e-16,5.745359307182977e-15
2,F2,256,0.6853221510673555,0.0625,0.6643436278051792,True,3.840593884737271e-15,1.9644012241153844e-16,5.745359307182977e-15
2,F3,256,0.5765924729748533,0.0625,0.5483653045065101,True,3.840593884737271e-15,1.9644012241153844e-16,5.745359307182977e-15
2,F4,256,0.4972245825091194,0.0625,0.46370622134306066,True,3.840593884737271e-15,1.9644012241153844e-16,5.745359307182977e-15
2,F5,256,0.4474461358150733,0.0625,0.4106092115360782,True,3.840593884737271e-15,1.9644012241153844e-16,5.745359307182977e-15
2,F6,256,0.41950826563817695,0.0625,0.3808088166807221,True,3.840593884737271e-15,1.9644012241153844e-16,5.745359307182977e-15
2,F7,256,0.41202049929011275,0.0625,0.3728218659094536,True,3.840593884737271e-15,1.9644012241153844e-16,5.745359307182977e-15
2,F8,256,0.412547505488504,0.0625,0.3733840058544043,True,3.840593884737271e-15,1.9644012241153844e-16,5.745359307182977e-15
2,F9,256,0.42412806307758355,0.0625,0.3857366006160891,True,3.840593884737271e-15,1.9644012241153844e-16,5.745359307182977e-15
2,F10,256,0.4506050189586606,0.0625,0.413978686889238,True,3.840593884737271e-15,1.9644012241153844e-16,5.745359307182977e-15
2,F11,256,0.48779977671776364,0.0625,0.45365309516561453,True,3.840593884737271e-15,1.9644012241153844e-16,5.745359307182977e-15
2,F12,256,0.5361693691583093,0.0625,0.5052473271021966,True,3.840593884737271e-15,1.9644012241153844e-16,5.745359307182977e-15
2,F13,256,0.6028322760459592,0.0625,0.5763544277823566,True,3.840593884737271e-15,1.9644012241153844e-16,5.745359307182977e-15
2,F14,256,0.6911266448898518,0.0625,0.6705350878825086,True,3.840593884737271e-15,1.9644012241153844e-16,5.745359307182977e-15
2,F15,256,0.8120647424054165,0.0625,0.7995357252324442,True,3.840593884737271e-15,1.9644012241153844e-16,5.745359307182977e-15
2,F16,256,0.9419948943730603,0.0625,0.9381278873312643,True,3.840593884737271e-15,1.9644012241153844e-16,5.745359307182977e-15
2,H,256,0.8639411708199087,0.0625,0.8548705822079027,True,3.840593884737271e-15,1.9644012241153844e-16,5.745359307182977e-15
2,M,1792,0.9097889356446037,0.4375,0.8396247744792955,True,3.840593884737271e-15,1.9644012241153844e-16,5.745359307182977e-15
2,T,2048,0.937622111506458,0.5,0.875244223012916,True,3.840593884737271e-15,1.9644012241153844e-16,5.745359307182977e-15
3,F1,256,0.8182515307326849,0.0625,0.8061349661148639,True,3.923112876108833e-15,0.0,5.798359915150712e-15
3,F2,256,0.6036404163281066,0.0625,0.5772164440833137,True,3.923112876108833e-15,0.0,5.798359915150712e-15
3,F3,256,0.4899771999679997,0.0625,0.45597567996586635,True,3.923112876108833e-15,0.0,5.798359915150712e-15
3,F4,256,0.42551935698527055,0.0625,0.38722064745095525,True,3.923112876108833e-15,0.0,5.798359915150712e-15
3,F5,256,0.3904584954485144,0.0625,0.349822395145082,True,3.923112876108833e-15,0.0,5.798359915150712e-15
3,F6,256,0.36892678414803437,0.0625,0.32685523642457,True,3.923112876108833e-15,0.0,5.798359915150712e-15
3,F7,256,0.36137801526312435,0.0625,0.318803216280666,True,3.923112876108833e-15,0.0,5.798359915150712e-15
3,F8,256,0.3633720165294809,0.0625,0.32093015096477967,True,3.923112876108833e-15,0.0,5.798359915150712e-15
3,F9,256,0.3765280666428298,0.0625,0.3349632710856851,True,3.923112876108833e-15,0.0,5.798359915150712e-15
3,F10,256,0.4009236162596688,0.0625,0.3609851906769801,True,3.923112876108833e-15,0.0,5.798359915150712e-15
3,F11,256,0.43668868576299125,0.0625,0.39913459814719066,True,3.923112876108833e-15,0.0,5.798359915150712e-15
3,F12,256,0.4881867630464185,0.0625,0.4540658805828464,True,3.923112876108833e-15,0.0,5.798359915150712e-15
3,F13,256,0.5638214817831138,0.0625,0.534742913901988,True,3.923112876108833e-15,0.0,5.798359915150712e-15
3,F14,256,0.6679900892903468,0.0625,0.6458560952430366,True,3.923112876108833e-15,0.0,5.798359915150712e-15
3,F15,256,0.8015786376168554,0.0625,0.7883505467913124,True,3.923112876108833e-15,0.0,5.798359915150712e-15
3,F16,256,0.9398382762152985,0.0625,0.9358274946296518,True,3.923112876108833e-15,0.0,5.798359915150712e-15
3,H,256,0.8182515307326849,0.0625,0.8061349661148639,True,3.923112876108833e-15,0.0,5.798359915150712e-15
3,M,1792,0.8920485628307991,0.4375,0.8080863339214207,True,3.923112876108833e-15,0.0,5.798359915150712e-15
3,T,2048,0.9273827526363725,0.5,0.854765505272745,True,3.923112876108833e-15,0.0,5.798359915150712e-15
4,F1,256,0.7884193952536878,0.0625,0.7743140216039336,True,4.0423719897440374e-15,0.0,5.702330397651859e-15
4,F2,256,0.5849337100803931,0.0625,0.5572626240857527,True,4.0423719897440374e-15,0.0,5.702330397651859e-15
4,F3,256,0.4922250792430509,0.0625,0.45837341785925434,True,4.0423719897440374e-15,0.0,5.702330397651859e-15
4,F4,256,0.44100894923359035,0.0625,0.40374287918249635,True,4.0423719897440374e-15,0.0,5.702330397651859e-15
4,F5,256,0.4064091167836214,0.0625,0.3668363912358628,True,4.0423719897440374e-15,0.0,5.702330397651859e-15
4,F6,256,0.3891799036678941,0.0625,0.3484585639124204,True,4.0423719897440374e-15,0.0,5.702330397651859e-15
4,F7,256,0.3763152295508015,0.0625,0.33473624485418824,True,4.0423719897440374e-15,0.0,5.702330397651859e-15
4,F8,256,0.3726431494224287,0.0625,0.330819359383924,True,4.0423719897440374e-15,0.0,5.702330397651859e-15
4,F9,256,0.38002450242384933,0.0625,0.33869280258543927,True,4.0423719897440374e-15,0.0,5.702330397651859e-15
4,F10,256,0.3984357019732996,0.0625,0.3583314154381862,True,4.0423719897440374e-15,0.0,5.702330397651859e-15
4,F11,256,0.4311674640289842,0.0625,0.3932452949642498,True,4.0423719897440374e-15,0.0,5.702330397651859e-15
4,F12,256,0.48065727551128534,0.0625,0.4460344272120377,True,4.0423719897440374e-15,0.0,5.702330397651859e-15
4,F13,256,0.5560434568565398,0.0625,0.5264463539803091,True,4.0423719897440374e-15,0.0,5.702330397651859e-15
4,F14,256,0.6670688260853461,0.0625,0.6448734144910359,True,4.0423719897440374e-15,0.0,5.702330397651859e-15
4,F15,256,0.8062464746460453,0.0625,0.7933295729557817,True,4.0423719897440374e-15,0.0,5.702330397651859e-15
4,F16,256,0.9423579027470403,0.0625,0.9385150962635097,True,4.0423719897440374e-15,0.0,5.702330397651859e-15
4,H,256,0.7884193952536878,0.0625,0.7743140216039336,True,4.0423719897440374e-15,0.0,5.702330397651859e-15
4,M,1792,0.8903976548397118,0.4375,0.8051513863817098,True,4.0423719897440374e-15,0.0,5.702330397651859e-15
4,T,2048,0.9296080837730107,0.5,0.8592161675460215,True,4.0423719897440374e-15,0.0,5.702330397651859e-15
5,F1,256,0.7418851790355723,0.0625,0.7246775243046104,True,3.855030175493998e-15,1.6278936032418443e-16,5.845618421976317e-15
5,F2,256,0.5276409339824204,0.0625,0.49615032958124844,True,3.855030175493998e-15,1.6278936032418443e-16,5.845618421976317e-15
5,F3,256,0.42758424275686135,0.0625,0.3894231922739854,True,3.855030175493998e-15,1.6278936032418443e-16,5.845618421976317e-15
5,F4,256,0.37319347276342163,0.0625,0.33140637094764974,True,3.855030175493998e-15,1.6278936032418443e-16,5.845618421976317e-15
5,F5,256,0.3421597170018922,0.0625,0.2983036981353517,True,3.855030175493998e-15,1.6278936032418443e-16,5.845618421976317e-15
5,F6,256,0.33146221746257554,0.0625,0.2868930319600806,True,3.855030175493998e-15,1.6278936032418443e-16,5.845618421976317e-15
5,F7,256,0.3327610329473656,0.0625,0.28827843514385665,True,3.855030175493998e-15,1.6278936032418443e-16,5.845618421976317e-15
