layer,maximum_projection_energy_relative_error
1,2.3472150132874958e-05
2,4.33375607826747e-05
3,5.786530164186843e-05
4,3.189122799085453e-05
5,4.13394627685193e-05
6,7.112190360203385e-05
7,2.779756505333353e-05
8,3.535898576956242e-05
9,3.757450031116605e-05
10,2.707831299630925e-05
11,5.499107646755874e-05
12,5.453876656247303e-05
13,3.444448520895094e-05
14,3.109135286649689e-05
15,5.233826959738508e-05
16,0.00010627172741806135
17,6.442808080464602e-05
18,0.00017416576156392694
19,0.0001341132156085223
20,7.623436977155507e-05
21,6.891023804200813e-05
22,4.1549090383341536e-05
23,4.784097836818546e-05
24,4.636061566998251e-05
25,5.823819446959533e-05
26,5.1264039939269423e-05
27,4.732611705549061e-05
28,4.524163159658201e-05
29,4.909971903543919e-05
30,4.9616362957749516e-05
31,4.975680712959729e-05
32,4.82912510051392e-05
33,3.410229328437708e-05
34,9.489287913311273e-05
35,5.3769090300193056e-05
36,0.00010880646004807204
