layer,floor_ratio,middle_log_ratio_e,tail_log_ratio_e
1,1e-06,0.4126613178343322,1.09579823676608
1,1e-05,0.4126613178343322,1.09579823676608
1,0.0001,0.4126613178343322,1.09579823676608
2,1e-06,0.05611701878147701,0.34959604825935503
2,1e-05,0.05611701878147701,0.34959604825935503
2,0.0001,0.05611701878147701,0.34959604825935503
3,1e-06,0.008684882874866422,0.10990152260208591
3,1e-05,0.008684882874866422,0.10990152260208591
3,0.0001,0.008684882874866422,0.10990152260208591
4,1e-06,0.09875629352661253,0.4916779987699851
4,1e-05,0.09875629352661253,0.4916779987699851
4,0.0001,0.09875629352661253,0.4916779987699851
5,1e-06,-0.0610367214434012,-0.0596033181166043
5,1e-05,-0.0610367214434012,-0.0596033181166043
5,0.0001,-0.0610367214434012,-0.0596033181166043
6,1e-06,0.012867645497023574,0.10349098786088469
6,1e-05,0.012867645497023574,0.10349098786088469
6,0.0001,0.012867645497023574,0.10349098786088469
7,1e-06,-0.051013111460873554,0.0181020148414019
7,1e-05,-0.051013111460873554,0.0181020148414019
7,0.0001,-0.051013111460873554,0.0181020148414019
8,1e-06,-0.013724574044657526,0.19499219897695735
8,1e-05,-0.013724574044657526,0.19499219897695735
8,0.0001,-0.013724574044657526,0.19499219897695735
9,1e-06,-0.027124436381679357,0.21480580958642984
9,1e-05,-0.027124436381679357,0.21480580958642984
9,0.0001,-0.027124436381679357,0.21480580958642984
10,1e-06,0.056940718674126194,0.19036696677028736
10,1e-05,0.056940718674126194,0.19036696677028736
10,0.0001,0.056940718674126194,0.19036696677028736
11,1e-06,-0.042823120025242724,0.04539208849996063
11,1e-05,-0.042823120025242724,0.04539208849996063
11,0.0001,-0.042823120025242724,0.04539208849996063
12,1e-06,-0.022776361309072624,0.060930068142731546
12,1e-05,-0.022776361309072624,0.060930068142731546
12,0.0001,-0.022776361309072624,0.060930068142731546
13,1e-06,0.10325956999802223,0.22332304785910057
13,1e-05,0.10325956999802223,0.22332304785910057
13,0.0001,0.10325956999802223,0.22332304785910057
14,1e-06,0.029400953699456018,0.1525635967391127
14,1e-05,0.029400953699456018,0.1525635967391127
14,0.0001,0.029400953699456018,0.1525635967391127
15,1e-06,-0.008154339755369376,-0.020494740410082705
15,1e-05,-0.008154339755369376,-0.020494740410082705
15,0.0001,-0.008154339755369376,-0.020494740410082705
16,1e-06,0.019943302707346372,0.08681841709072907
16,1e-05,0.019943302707346372,0.08681841709072907
16,0.0001,0.019943302707346372,0.08681841709072907
17,1e-06,-0.03690089593951941,-0.007661917813822597
17,1e-05,-0.03690089593951941,-0.007661917813822597
17,0.0001,-0.03690089593951941,-0.007661917813822597
18,1e-06,0.01697180679878604,0.10230334979981118
18,1e-05,0.01697180679878604,0.10230334979981118
18,0.0001,0.01697180679878604,0.10230334979981118
19,1e-06,0.04435059072235934,0.09573553528041483
19,1e-05,0.04435059072235934,0.09573553528041483
19,0.0001,0.04435059072235934,0.09573553528041483
20,1e-06,0.05399982134447739,-0.01375373382189039
20,1e-05,0.05399982134447739,-0.01375373382189039
20,0.0001,0.05399982134447739,-0.01375373382189039
21,1e-06,0.007274866165421682,-0.06793220701055216
21,1e-05,0.007274866165421682,-0.06793220701055216
21,0.0001,0.007274866165421682,-0.06793220701055216
22,1e-06,-0.020048472590778892,0.016943398985115238
22,1e-05,-0.020048472590778892,0.016943398985115238
22,0.0001,-0.020048472590778892,0.016943398985115238
23,1e-06,0.0052306914253279005,0.1528429180764904
23,1e-05,0.0052306914253279005,0.1528429180764904
23,0.0001,0.0052306914253279005,0.1528429180764904
24,1e-06,-0.024707401085229758,0.14831294611057982
24,1e-05,-0.024707401085229758,0.14831294611057982
24,0.0001,-0.024707401085229758,0.14831294611057982
25,1e-06,0.22047495584657034,0.3598362112604613
25,1e-05,0.22047495584657034,0.3598362112604613
25,0.0001,0.22047495584657034,0.3598362112604613
26,1e-06,0.05445366174188407,-0.015462860664539222
26,1e-05,0.05445366174188407,-0.015462860664539222
26,0.0001,0.05445366174188407,-0.015462860664539222
27,1e-06,0.014581171185861459,0.04235655728657232
27,1e-05,0.014581171185861459,0.04235655728657232
27,0.0001,0.014581171185861459,0.04235655728657232
28,1e-06,0.048666513292325714,0.26826324768950466
28,1e-05,0.048666513292325714,0.26826324768950466
28,0.0001,0.048666513292325714,0.26826324768950466
29,1e-06,0.0330616784654915,-0.023428407477858532
29,1e-05,0.0330616784654915,-0.023428407477858532
29,0.0001,0.0330616784654915,-0.023428407477858532
30,1e-06,0.08238148751002564,-0.07236471948339711
30,1e-05,0.08238148751002564,-0.07236471948339711
30,0.0001,0.08238148751002564,-0.07236471948339711
31,1e-06,0.06302879731627622,0.4033295735296456
31,1e-05,0.06302879731627622,0.4033295735296456
31,0.0001,0.06302879731627622,0.4033295735296456
32,1e-06,0.011208484826940368,0.11358341301362213
32,1e-05,0.011208484826940368,0.11358341301362213
32,0.0001,0.011208484826940368,0.11358341301362213
33,1e-06,0.15448431374713215,0.2023338312333976
33,1e-05,0.15448431374713215,0.2023338312333976
33,0.0001,0.15448431374713215,0.2023338312333976
34,1e-06,0.07435641388539203,0.15912767785377657
34,1e-05,0.07435641388539203,0.15912767785377657
34,0.0001,0.07435641388539203,0.15912767785377657
35,1e-06,0.06947023169659644,0.3184060493051404
35,1e-05,0.06947023169659644,0.3184060493051404
35,0.0001,0.06947023169659644,0.3184060493051404
36,1e-06,0.022682259524755798,0.028454041494077643
36,1e-05,0.022682259524755798,0.028454041494077643
36,0.0001,0.022682259524755798,0.028454041494077643
