layer,omitted_parent,D_coarse,D_fine,R
1,0,0.287870854139328,0.3741827607154846,0.26223238663443565
1,1,0.3346138298511505,0.3918924331665039,0.15801027675843096
1,2,0.3335798382759094,0.386221319437027,0.14652833973487941
1,3,0.33792129158973694,0.37723615765571594,0.11005840096663527
1,4,0.3304693400859833,0.361480176448822,0.08969331644636723
1,5,0.3067215383052826,0.37490642070770264,0.2007361554240694
1,6,0.2723197937011719,0.3962867856025696,0.37516106738650634
1,7,0.32201337814331055,0.3787097632884979,0.16217702392799518
2,0,0.38272905349731445,0.4454980790615082,0.15186562832008305
2,1,0.44898438453674316,0.46700042486190796,0.039342058614151534
2,2,0.44033291935920715,0.4682788848876953,0.061532950599029565
2,3,0.44610702991485596,0.4683172404766083,0.04858702992002936
2,4,0.42509162425994873,0.44938021898269653,0.055564610094585784
2,5,0.4209531843662262,0.46045249700546265,0.08968806865159282
2,6,0.3560168147087097,0.48496267199516296,0.3090939609526464
2,7,0.43293631076812744,0.46980687975883484,0.08173108724521311
3,0,0.2081131637096405,0.3090890645980835,0.39554748225859054
3,1,0.23594021797180176,0.3187742531299591,0.30090472257144907
3,2,0.23904670774936676,0.31747183203697205,0.28373013365204236
3,3,0.23798039555549622,0.31724482774734497,0.2874855044015467
3,4,0.23214028775691986,0.30593520402908325,0.27603145046767974
3,5,0.22889205813407898,0.31499481201171875,0.31930563831753755
3,6,0.18975193798542023,0.33192840218544006,0.5592016600059416
3,7,0.2271537035703659,0.31587013602256775,0.32970427057846313
4,0,0.2355552315711975,0.21257267892360687,-0.10266146657007769
4,1,0.2511904239654541,0.22454720735549927,-0.1121253498809603
4,2,0.24964174628257751,0.2198612093925476,-0.12703039436986696
4,3,0.25366002321243286,0.21957343816757202,-0.14430813235071194
4,4,0.2549119293689728,0.20892660319805145,-0.19893510106329915
4,5,0.24330930411815643,0.21376879513263702,-0.1294384560025479
4,6,0.22150610387325287,0.2274443507194519,0.02645545015100794
4,7,0.2467600554227829,0.21560445427894592,-0.13497093020105758
5,0,0.31891632080078125,0.375946044921875,0.164516884410202
5,1,0.34736165404319763,0.39454835653305054,0.12737524166354114
5,2,0.34214141964912415,0.3932718336582184,0.13927690212282723
5,3,0.33488669991493225,0.3754023611545563,0.11420614842548599
5,4,0.34709155559539795,0.3678634762763977,0.058123286833432174
5,5,0.32184532284736633,0.37642383575439453,0.15664466499771476
5,6,0.3333325684070587,0.40489476919174194,0.19448650865633252
5,7,0.3388556241989136,0.3899220824241638,0.1403728011614401
6,0,0.3688659369945526,0.424591600894928,0.14069450420775612
6,1,0.41794896125793457,0.4506128132343292,0.07524914071740525
6,2,0.432369589805603,0.44445911049842834,0.027577306400172426
6,3,0.42648279666900635,0.4332008361816406,0.01562941531391185
6,4,0.438515305519104,0.41946521401405334,-0.04441411548990962
6,5,0.40161216259002686,0.4461057782173157,0.10506924153767663
6,6,0.38467347621917725,0.46842965483665466,0.1969910799237511
6,7,0.40211179852485657,0.44335317611694336,0.09763653396659078
7,0,0.37394091486930847,0.445146769285202,0.1743062431052132
7,1,0.4278307259082794,0.4859922528266907,0.1274650659509589
7,2,0.4346315264701843,0.465564489364624,0.06875201842174146
7,3,0.41893965005874634,0.45117318630218506,0.074124394620543
7,4,0.44656381011009216,0.44780898094177246,0.0027844577756466833
7,5,0.4117256999015808,0.46077820658683777,0.11255946284609487
7,6,0.37913796305656433,0.508263111114502,0.293099091298449
7,7,0.4060460031032562,0.47235044836997986,0.1512547241282611
8,0,0.37861543893814087,0.4180264174938202,0.09902361330684974
8,1,0.44497036933898926,0.4538050889968872,0.019660092273047013
