layer,template_index,D_coarse,D_fine,R
1,0,0.49136853218078613,0.6512824296951294,0.2817489669442869
1,1,0.5301684141159058,0.6905580759048462,0.26430535779025943
1,2,0.5808019042015076,0.7033115029335022,0.1913901567480519
1,3,0.4660971164703369,0.6459730267524719,0.3263637318024895
2,0,0.5586584806442261,0.6756768226623535,0.1901765492631883
2,1,0.5873187184333801,0.7109771370887756,0.19107263925912327
2,2,0.6333740949630737,0.704348087310791,0.10621144128121508
2,3,0.5625682473182678,0.6925327181816101,0.2078430281323838
3,0,0.35445109009742737,0.6080021858215332,0.5396081093028348
3,1,0.3712804317474365,0.6355839371681213,0.5375865046296318
3,2,0.4207437336444855,0.6830636858940125,0.48456415991703927
3,3,0.3758656978607178,0.6446645259857178,0.539498173695408
4,0,0.624617338180542,0.8341609835624695,0.2892872062676911
4,1,0.5216085314750671,0.8144513964653015,0.4455973865793485
4,2,0.6256616711616516,0.8508191108703613,0.30738978171469966
4,3,0.6827788949012756,0.8214268088340759,0.1848717581589172
5,0,0.608400821685791,0.8486567735671997,0.3328209222023143
5,1,0.5388219356536865,0.8289279937744141,0.4307481364649759
5,2,0.5218276977539062,0.7753071784973145,0.3959218577123794
5,3,0.6024351119995117,0.7751451730728149,0.2520703702662332
6,0,0.76491779088974,0.873797595500946,0.1330803995780136
6,1,0.6392165422439575,0.8307077288627625,0.262034749114928
6,2,0.58021479845047,0.7989071607589722,0.3198463675843242
6,3,0.6812931299209595,0.7809615135192871,0.13653321621185913
7,0,0.7542718052864075,1.0179957151412964,0.2998382004928425
7,1,0.5896918177604675,0.9913280010223389,0.5194454017567676
7,2,0.5483105778694153,0.8712079524993896,0.46303882544639857
7,3,0.7687578797340393,0.9148263335227966,0.1739581787039577
8,0,0.7865393757820129,0.9321253299713135,0.16982449405066186
8,1,0.5999164581298828,0.906760036945343,0.41308743817301297
8,2,0.5646572709083557,0.8376442193984985,0.3943745042130529
8,3,0.7719619274139404,0.8393298983573914,0.08366860143537361
9,0,0.6064085960388184,0.6947852373123169,0.13604877699617568
9,1,0.4703236222267151,0.6631647348403931,0.34360241247576184
9,2,0.45445555448532104,0.7233452796936035,0.46478655451095185
9,3,0.6183344125747681,0.7591881155967712,0.2052201615469484
10,0,0.5337814092636108,0.7862736582756042,0.3873184883716446
10,1,0.4372651278972626,0.7011260390281677,0.4721479586503706
10,2,0.41928330063819885,0.7362880110740662,0.5630745349570914
10,3,0.5145320296287537,0.7143815755844116,0.3281594319433292
11,0,0.5793551802635193,0.8001165986061096,0.3228417383927391
11,1,0.46892115473747253,0.753864049911499,0.47477740584641076
11,2,0.40573203563690186,0.7272927165031433,0.583636101725505
11,3,0.5215914845466614,0.7512373328208923,0.36483693939745804
12,0,0.6884806752204895,0.8538403511047363,0.215256983981633
12,1,0.5325143337249756,0.7775105834007263,0.37848744103702764
12,2,0.5414143204689026,0.8140535354614258,0.40784130457896
12,3,0.6003921627998352,0.7872645258903503,0.2709812648675182
13,0,0.6476001739501953,0.7846830487251282,0.19200638625282523
13,1,0.47616317868232727,0.7309999465942383,0.42865277884875846
13,2,0.5174933671951294,0.7944449782371521,0.4286470222153701
13,3,0.5946642756462097,0.7243492603302002,0.19727667614796834
14,0,0.6477972269058228,0.8365795016288757,0.2557438307698876
