condition,metric,estimate,lower_95,upper_95,unit,episodes,bootstrap_draws,bootstrap_seed
complex,gain_true,0.7672068047371132,0.7512960417635945,0.7851461395317283,nats_per_example,128,2000,8281
complex,gain_state,0.7545078600038247,0.7382260311488721,0.7730691067282564,nats_per_example,128,2000,8281
complex,gain_top2,0.25505242482354723,0.2449382075384973,0.26442696420139866,nats_per_example,128,2000,8281
complex,d80,-0.35871301896614344,-0.36975963801267275,-0.34867473926588105,nats_per_example,128,2000,8281
complex,t_cap,0.7668390569878459,0.7506425067757589,0.784306760487205,nats_per_example,128,2000,8281
complex,t_random,0.0342652595764506,0.02429261427554577,0.040978558611221884,nats_per_example,128,2000,8281
complex,t_permutation,0.23483151164446955,0.2242774444533569,0.2448311074498339,nats_per_example,128,2000,8281
complex,ce_old,2.0662531769778925,,,nats_per_example,128,0,
complex,ce_new_state,1.311745316974068,,,nats_per_example,128,0,
complex,ce_full_ru,1.2990463722407797,,,nats_per_example,128,0,
complex,ce_top2_ru,1.8112007521543456,,,nats_per_example,128,0,
simple,gain_true,0.04899769323501259,0.03346064931976356,0.0638268187995646,nats_per_example,128,2000,8281
simple,gain_state,0.09324670638249069,0.07962521767325896,0.10661425377277976,nats_per_example,128,2000,8281
simple,gain_top2,0.029933695406686785,0.024171401854133388,0.036181543127189186,nats_per_example,128,2000,8281
simple,d80,-0.009264459181323289,-0.01981674580068155,0.0025004176616190213,nats_per_example,128,2000,8281
simple,ce_old,1.3357103499919885,,,nats_per_example,128,0,
simple,ce_new_state,1.242463643609498,,,nats_per_example,128,0,
simple,ce_full_ru,1.286712656756976,,,nats_per_example,128,0,
simple,ce_top2_ru,1.3057766545853018,,,nats_per_example,128,0,
